GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
6653,Solomon Hill,Arizona,2009,Fr,60,39,14,5,3,2,54,19,2,14,4,4,47,33
6647,Jamelle Horne,Arizona,2009,Jr,26,17,7,6,6,3,74,28,6,86,40,36,34,19
6641,Alex Jacobson,Arizona,2009,So,1,1,0,0,0,0,9,7,6,1,1,0,4,3
2540,Lamont Jones,Arizona,2009,Fr,24,14,4,0,0,0,68,26,4,43,8,8,27,19
6646,Garland Judkins,Arizona,2009,RS-So,1,1,1,0,0,0,1,0,0,1,1,1,0,0
6642,Brendon Lavender,Arizona,2009,So,6,1,0,0,0,0,9,3,0,48,13,10,10,7
6650,Kyryl Natyazhko,Arizona,2009,Fr,15,6,4,2,1,1,33,11,4,4,1,1,18,14
6648,Kevin Parrom,Arizona,2009,Fr,19,12,5,0,0,0,29,8,4,12,1,1,20,12
6643,D.J. Shumpert,Arizona,2009,So,0,0,0,0,0,0,2,0,0,0,0,0,4,2
6644,Derrick Williams,Arizona,2009,Fr,137,101,64,29,26,21,85,21,10,14,4,4,177,119
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,41,19,2,0,0,0,101,32,9,109,36,26,84,74
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,8,4,1,0,0,0,4,0,0,0,0,0,13,8
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,67,32,15,0,0,0,114,32,7,19,4,2,96,76
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,6,4,2,0,0,0,3,2,0,6,2,2,5,2
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,40,24,13,5,4,1,65,28,21,13,5,5,39,23
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,81,48,29,1,0,0,53,15,9,18,4,3,129,81
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,37,19,10,0,0,0,11,4,4,5,2,2,12,8
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,1,0,0,0,0,0,5,1,0,8,2,2,4,2
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,8,5,3,0,0,0,4,0,0,11,4,4,14,7
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,10,5,3,2,2,1,17,2,0,11,2,2,24,13
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,1,0,0,0,0,0,1,0,0,7,1,1,6,4
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,7,4,2,0,0,0,8,0,0,24,5,5,13,7
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,11,4,2,0,0,0,19,2,0,87,31,28,19,12
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,8,5,3,0,0,0,1,0,0,0,0,0,6,3
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,34,15,7,0,0,0,79,19,1,74,27,23,65,49
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,94,57,27,17,15,10,18,4,3,25,4,4,73,49
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,54,30,15,4,4,3,119,48,24,72,23,21,57,36
4550,Martavius Adams,Arkansas State ,2009,So,117,84,56,13,12,9,97,32,15,0,0,0,82,48
19725,Rashad Allison,Arkansas State ,2009,Jr,31,14,1,0,0,0,82,32,10,42,15,13,51,37
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,JeJuan Brown,Arkansas State ,2009,Jr,36,25,12,3,3,2,40,9,2,9,5,4,29,17
19718,Daniel Bryant,Arkansas State ,2009,So,23,7,0,0,0,0,18,7,2,85,26,18,14,10
19721,Justin Butler,Arkansas State ,2009,Jr,13,6,2,1,0,0,4,1,0,6,1,1,20,14
19726,Trey Finn,Arkansas State ,2009,Fr,32,17,4,0,0,0,53,15,6,63,23,22,42,30
19724,Michael Lance,Arkansas State ,2009,Sr,3,2,0,0,0,0,2,0,0,6,2,2,1,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,63,32,14,5,3,1,60,16,5,2,0,0,69,40
19717,Brandon Reed,Arkansas State ,2009,Fr,63,33,2,2,2,1,119,37,10,131,44,40,71,52
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,4,3,1,0,0,0,10,2,1,25,6,5,8,5
19720,Jeremy Thomas,Arkansas State ,2009,Jr,44,31,13,6,6,5,9,3,0,0,0,0,39,19
5539,Marcus Britt,Arkansas,2009,Jr,12,8,2,0,0,0,21,11,1,26,8,8,6,6
5536,Glenn Bryant,Arkansas,2009,Fr,17,12,6,1,1,1,7,2,2,20,6,6,15,8
5543,Rotnei Clarke,Arkansas,2009,So,12,8,1,0,0,0,49,23,5,149,64,50,45,38
5545,Stephen Cox,Arkansas,2009,Jr,2,0,0,0,0,0,0,0,0,0,0,0,10,8
5537,Jemal Farmer,Arkansas,2009,Jr,37,25,12,3,3,3,58,16,7,20,9,6,40,29
3642,Courtney Fortson,Arkansas,2009,So,72,31,3,1,1,0,51,10,1,57,15,9,77,63
5535,Delvon Johnson,Arkansas,2009,Jr,29,20,12,6,5,3,19,6,3,0,0,0,13,7
5534,Cody Lay,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,1,1,0,0,0,0,5,1,0,3,0,0,0,0
5538,Julysses Nobles,Arkansas,2009,Fr,11,6,0,0,0,0,16,5,1,22,7,7,25,15
5540,Marshawn Powell,Arkansas,2009,Fr,139,88,53,19,17,14,119,42,12,27,7,3,102,70
5533,Chris Roberts,Arkansas,2009,Fr,1,0,0,0,0,0,0,0,0,0,0,0,0,0
