GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
6646,Garland Judkins,Arizona,2009,RS-So,0,0,0,0,0,0,0,0,0,0,0,0,0
6642,Brendon Lavender,Arizona,2009,So,4,2,0,0,0,1,0,0,17,10,10,4,4
6650,Kyryl Natyazhko,Arizona,2009,Fr,4,3,3,1,1,1,0,0,0,0,0,5,2
6648,Kevin Parrom,Arizona,2009,Fr,8,5,4,1,1,5,1,0,2,1,1,8,6
6643,D.J. Shumpert,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
6644,Derrick Williams,Arizona,2009,Fr,32,27,19,14,14,11,8,6,2,0,0,52,36
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,30,17,0,0,0,24,10,2,29,14,13,62,54
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,1,0,0,0,0,0,0,0,0,0,0,0,0
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,39,20,4,0,0,43,12,2,3,0,0,53,46
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,5,1,1,0,0,1,0,0,0,0,0,0,0
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,9,5,4,2,2,9,1,1,1,0,0,10,5
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,19,14,10,1,1,3,0,0,5,0,0,31,17
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,3,1,1,0,0,3,2,2,0,0,0,6,5
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,1,1,1,0,0,1,0,0,2,0,0,1,0
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,1,1,1,0,0,1,1,1,5,2,2,2,2
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,3,1,1,1,0,3,3,0,2,1,0,4,1
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,1,0,0,0,0,0,0,0,2,0,0,0,0
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,2,0,0,0,0,1,0,0,7,4,4,6,3
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,15,7,4,0,0,2,1,0,18,5,5,17,12
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,0,0,0,0,0,0,0,0,1,0,0,0,0
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,20,13,4,2,2,8,3,0,12,4,4,42,28
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,54,43,28,22,20,6,3,0,0,0,0,42,25
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,8,4,4,2,2,21,11,7,20,7,7,18,12
4550,Martavius Adams,Arkansas State ,2009,So,33,28,23,9,8,13,4,4,0,0,0,14,11
19725,Rashad Allison,Arkansas State ,2009,Jr,20,14,5,1,1,14,6,2,11,3,2,37,33
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,JeJuan Brown,Arkansas State ,2009,Jr,13,9,8,4,4,6,2,2,1,1,1,16,12
19718,Daniel Bryant,Arkansas State ,2009,So,28,18,4,0,0,6,3,0,32,16,11,29,17
19721,Justin Butler,Arkansas State ,2009,Jr,2,1,1,1,1,0,0,0,1,0,0,5,3
19726,Trey Finn,Arkansas State ,2009,Fr,13,6,0,0,0,8,4,2,21,9,8,27,18
19724,Michael Lance,Arkansas State ,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,22,18,11,4,4,6,2,1,1,0,0,29,20
19717,Brandon Reed,Arkansas State ,2009,Fr,42,25,15,5,4,22,8,2,39,14,13,33,23
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,6,3,1,0,0,1,0,0,6,4,4,7,3
19720,Jeremy Thomas,Arkansas State ,2009,Jr,18,13,9,7,7,0,0,0,1,0,0,16,10
5539,Marcus Britt,Arkansas,2009,Jr,9,8,2,0,0,4,1,0,6,1,1,8,6
5536,Glenn Bryant,Arkansas,2009,Fr,9,6,3,2,2,3,1,1,2,0,0,7,3
5543,Rotnei Clarke,Arkansas,2009,So,17,10,7,0,0,13,7,2,76,32,27,26,20
5545,Stephen Cox,Arkansas,2009,Jr,1,0,0,0,0,2,1,0,0,0,0,2,0
5537,Jemal Farmer,Arkansas,2009,Jr,8,3,2,1,1,6,1,1,3,1,1,23,17
3642,Courtney Fortson,Arkansas,2009,So,46,24,2,0,0,11,3,0,20,10,6,59,40
5535,Delvon Johnson,Arkansas,2009,Jr,11,9,8,4,4,1,1,0,0,0,0,9,4
5534,Cody Lay,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5538,Julysses Nobles,Arkansas,2009,Fr,18,9,1,0,0,8,1,0,8,2,2,26,13
5540,Marshawn Powell,Arkansas,2009,Fr,63,42,29,18,15,13,4,1,10,1,0,35,17
5533,Chris Roberts,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,5,4
2330,Michael Washington,Arkansas,2009,Sr,34,24,20,5,5,6,5,2,3,0,0,30,21
5544,Stefan Welsh,Arkansas,2009,Sr,17,11,3,1,1,5,2,0,18,6,5,16,10
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,8,5,5,0,0,2,0,0,2,2,2,9,3
16996,Nathan Hedgecock,Army,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
16987,Jeremy Hence,Army,2009,Jr,23,15,6,1,1,1,0,0,7,2,2,9,7
16995,Mitch McDonald,Army,2009,Jr,5,3,1,0,0,3,2,1,0,0,0,3,2
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16991,Josh Miller,Army,2009,Sr,25,13,1,0,0,22,10,2,22,6,3,29,22
16994,Marcus Nelson,Army,2009,Sr,29,19,10,2,2,1,1,0,0,0,0,31,17
16986,Jason Pancoe,Army,2009,Fr,1,1,0,0,0,0,0,0,0,0,0,0,0
16983,Cleveland Richard,Army,2009,Sr,29,21,10,0,0,23,6,3,26,4,4,34,25
16992,Julian Simmons,Army,2009,So,12,8,4,0,0,19,7,3,41,19,18,23,17
16989,Jon Sizemore,Army,2009,Sr,7,4,2,0,0,2,2,1,0,0,0,6,3
16990,Jordan Springer,Army,2009,Fr,1,0,0,0,0,0,0,0,0,0,0,2,1
16998,Tyrell Thompson,Army,2009,Sr,11,8,4,0,0,7,2,0,4,1,1,7,4
16982,Chris Walker,Army,2009,Sr,9,4,4,0,0,1,1,1,0,0,0,2,0
16985,Eric Zastoupil,Army,2009,Sr,4,2,2,0,0,1,0,0,2,0,0,3,2
5590,Ty Armstrong,Auburn,2009,Fr,5,4,3,0,0,0,0,0,0,0,0,8,5
5587,Rob Chubb,Auburn,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5581,Jake Drum,Auburn,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
5584,Kenny Gabriel,Auburn,2009,So,2,1,1,2,1,2,0,0,3,0,0,2,1
5586,Lucas Hargrove,Auburn,2009,Sr,42,27,8,10,10,6,5,3,22,6,6,33,24
5578,Brendan Knox,Auburn,2009,Sr,21,15,11,7,6,2,1,0,0,0,0,16,9
5582,Johnnie Lett,Auburn,2009,Sr,7,3,1,2,1,0,0,0,1,0,0,4,1
5577,Andre Malone,Auburn,2009,Fr,6,5,3,0,0,4,3,2,8,1,1,6,4
5589,Tony Neysmith,Auburn,2009,So,2,0,0,0,0,0,0,0,0,0,0,0,0
4818,DeWayne Reed,Auburn,2009,Sr,104,58,10,9,8,21,8,1,39,14,4,89,61
5579,Earnest Ross,Auburn,2009,Fr,12,7,3,1,1,2,0,0,15,3,3,7,4
5580,Frankie Sullivan,Auburn,2009,So,33,21,10,2,2,10,2,0,39,11,10,48,41
5583,Josh Wallace,Auburn,2009,Fr,2,1,0,0,0,0,0,0,0,0,0,7,4
5588,Tay Waller,Auburn,2009,Sr,24,18,13,4,4,4,3,1,71,28,21,16,11
5585,"Larry Williams, Jr.",Auburn,2009,Jr,0,0,0,0,0,0,0,0,2,1,0,0,0
11659,Justin Blake,Austin Peay,2009,Fr,14,12,6,0,0,2,1,0,25,7,7,22,16
11650,Caleb Brown,Austin Peay,2009,Jr,21,13,2,0,0,9,3,0,5,1,1,27,15
11661,Tyrone Caldwell,Austin Peay,2009,So,23,17,3,0,0,4,2,0,6,0,0,26,19
9444,Anthony Campbell,Austin Peay,2009,So,42,32,21,5,4,7,3,3,24,8,6,66,51
11662,Wesley Channels,Austin Peay,2009,Sr,49,26,3,2,2,19,3,0,34,18,13,66,48
11655,Ernest Fields,Austin Peay,2009,Sr,1,1,0,0,0,2,1,1,0,0,0,4,1
11658,John Fraley,Austin Peay,2009,So,20,13,7,7,7,2,0,0,0,0,0,27,15
11654,Eric Mosley,Austin Peay,2009,Fr,3,3,2,0,0,4,1,0,5,2,2,3,3
11651,Chris Reaves,Austin Peay,2009,So,3,3,2,1,1,3,1,0,1,0,0,1,0
11653,Duran Roberson,Austin Peay,2009,Jr,8,7,6,3,3,10,9,9,3,0,0,16,7
11660,Marcel Williams,Austin Peay,2009,So,8,5,2,2,2,2,0,0,0,0,0,10,5
11652,Christopher Wood,Austin Peay,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
11376,Brawley Chisholm,Ball State,2009,Sr,8,5,1,0,0,4,2,0,8,2,0,19,17
11385,Randy Davis,Ball State,2009,So,14,4,1,0,0,5,2,0,21,9,5,57,46
11388,Zach Fields,Ball State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
11380,John Green,Ball State,2009,Fr,0,0,0,0,0,0,0,0,1,1,1,0,0
