GMID,Name,School,Year,Grade,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
16996,Nathan Hedgecock,Army,2009,Jr,0,0,0,0,0,0,0,0,0
16987,Jeremy Hence,Army,2009,Jr,24,2,8,14,0,33,4,10,19
16995,Mitch McDonald,Army,2009,Jr,21,3,8,10,0,26,0,16,10
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0
16991,Josh Miller,Army,2009,Sr,99,20,42,36,2,78,2,37,39
16994,Marcus Nelson,Army,2009,Sr,47,12,22,13,0,44,2,13,29
16986,Jason Pancoe,Army,2009,Fr,1,0,0,1,0,4,0,1,3
16983,Cleveland Richard,Army,2009,Sr,81,14,28,39,0,58,5,23,30
16992,Julian Simmons,Army,2009,So,7,1,2,4,0,46,1,15,30
16989,Jon Sizemore,Army,2009,Sr,9,1,4,4,0,13,0,5,8
16990,Jordan Springer,Army,2009,Fr,1,0,0,1,0,1,0,0,1
16998,Tyrell Thompson,Army,2009,Sr,7,0,5,2,0,19,2,7,10
16982,Chris Walker,Army,2009,Sr,8,3,3,2,0,34,1,15,18
16985,Eric Zastoupil,Army,2009,Sr,7,1,1,5,0,18,2,5,11
5590,Ty Armstrong,Auburn,2009,Fr,2,0,0,2,0,12,4,2,6
5587,Rob Chubb,Auburn,2009,Fr,0,0,0,0,0,0,0,0,0
5581,Jake Drum,Auburn,2009,So,0,0,0,0,0,0,0,0,0
5584,Kenny Gabriel,Auburn,2009,So,2,0,2,0,0,6,0,4,2
5586,Lucas Hargrove,Auburn,2009,Sr,78,2,26,50,7,79,9,35,35
5578,Brendan Knox,Auburn,2009,Sr,15,2,4,9,0,45,9,16,20
5582,Johnnie Lett,Auburn,2009,Sr,13,1,3,9,1,18,5,6,7
5577,Andre Malone,Auburn,2009,Fr,6,1,3,2,2,7,0,2,5
5589,Tony Neysmith,Auburn,2009,So,10,1,3,6,0,14,2,9,3
4818,DeWayne Reed,Auburn,2009,Sr,134,13,46,75,14,99,10,58,31
5579,Earnest Ross,Auburn,2009,Fr,20,1,11,8,4,23,3,13,7
5580,Frankie Sullivan,Auburn,2009,So,59,9,31,19,11,46,11,16,19
5583,Josh Wallace,Auburn,2009,Fr,15,0,8,7,2,14,1,8,5
5588,Tay Waller,Auburn,2009,Sr,30,2,15,13,0,27,1,16,10
5585,"Larry Williams, Jr.",Auburn,2009,Jr,0,0,0,0,0,1,0,0,1
11659,Justin Blake,Austin Peay,2009,Fr,33,4,20,9,3,21,1,16,4
11650,Caleb Brown,Austin Peay,2009,Jr,106,16,35,55,10,47,3,26,18
11661,Tyrone Caldwell,Austin Peay,2009,So,67,11,26,30,4,56,3,26,27
9444,Anthony Campbell,Austin Peay,2009,So,48,15,23,10,8,81,11,44,26
11662,Wesley Channels,Austin Peay,2009,Sr,92,18,36,38,8,90,8,54,28
11655,Ernest Fields,Austin Peay,2009,Sr,0,0,0,0,0,9,3,4,2
11658,John Fraley,Austin Peay,2009,So,18,3,5,10,0,48,10,16,22
11654,Eric Mosley,Austin Peay,2009,Fr,1,0,0,1,0,3,1,1,1
11651,Chris Reaves,Austin Peay,2009,So,2,0,2,0,0,5,0,2,3
11653,Duran Roberson,Austin Peay,2009,Jr,10,1,5,4,0,27,4,7,16
11660,Marcel Williams,Austin Peay,2009,So,24,3,9,12,1,35,7,17,11
11652,Christopher Wood,Austin Peay,2009,Fr,0,0,0,0,0,0,0,0,0
11376,Brawley Chisholm,Ball State,2009,Sr,43,12,21,10,5,34,0,20,14
11385,Randy Davis,Ball State,2009,So,96,33,39,24,9,65,6,32,27
11388,Zach Fields,Ball State,2009,Fr,0,0,0,0,0,3,1,0,2
11380,John Green,Ball State,2009,Fr,7,1,4,2,1,4,0,2,2
11383,"Myron Green, Jr.",Ball State,2009,Fr,14,3,5,5,1,21,5,9,7
69742,Maurice Hubbard,Ball State,2009,Fr,10,2,7,1,1,16,1,9,6
11378,Jarrod Jones,Ball State,2009,So,22,4,9,8,0,59,5,26,28
11381,Malik Perry,Ball State,2009,Jr,16,2,8,5,2,39,6,10,23
11379,Jauwan Scaife,Ball State,2009,Fr,45,18,17,10,4,45,5,28,12
11384,Pierre Sneed,Ball State,2009,So,28,7,13,8,5,50,8,22,20
5797,Terrence Watson,Ball State,2009,Sr,30,6,16,8,3,62,6,23,33
4130,Quincy Acy,Baylor,2009,So,11,0,3,8,2,40,4,17,19
1945,Tweety Carter,Baylor,2009,Sr,165,24,80,60,46,77,3,48,26
4152,Givon Crump,Baylor,2009,Fr,0,0,0,0,0,0,0,0,0
4154,Nolan Dennis,Baylor,2009,Fr,9,3,3,3,3,13,0,6,7
4067,LaceDarius Dunn,Baylor,2009,Jr,63,9,41,13,22,86,8,38,40
4145,Fred Ellis,Baylor,2009,So,4,0,1,3,1,7,0,2,5
4151,Oscar Griffin,Baylor,2009,Fr,0,0,0,0,0,0,0,0,0
4149,Cory Jefferson,Baylor,2009,Fr,0,0,0,0,0,0,0,0,0
4142,Anthony Jones,Baylor,2009,So,32,2,15,15,9,46,3,26,17
4146,Josh Lomers,Baylor,2009,Sr,10,1,3,6,1,47,12,15,20
4153,Dragan Sekelja,Baylor,2009,Fr,0,0,0,0,0,0,0,0,0
4037,Ekpe Udoh,Baylor,2009,Jr,83,12,39,32,18,78,6,33,39
4150,A.J. Walton,Baylor,2009,Fr,60,22,21,17,8,43,3,17,23
14154,Brandon Baker,Belmont,2009,Fr,9,0,5,4,0,14,1,7,6
14152,Adam Barnes,Belmont,2009,Fr,1,0,1,0,0,0,0,0,0
14160,Keaton Belcher,Belmont,2009,Sr,32,2,13,17,1,34,2,21,11
14159,Jordan Campbell,Belmont,2009,Jr,39,3,16,20,1,38,4,21,13
14156,Ian Clark,Belmont,2009,Fr,64,6,36,22,2,85,5,41,39
14155,Drew Hanlen,Belmont,2009,So,93,11,39,43,4,40,2,27,11
14161,Mick Hedgepeth,Belmont,2009,So,18,0,3,15,0,62,11,30,21
14157,Jon House,Belmont,2009,Jr,52,3,16,33,2,45,1,25,19
3641,Kerron Johnson,Belmont,2009,Fr,78,5,42,30,2,60,2,31,27
14164,Trevor Noack,Belmont,2009,Fr,2,0,2,0,0,10,0,4,6
14158,Jonny Rice,Belmont,2009,So,3,1,0,2,0,8,0,6,2
7930,Scott Saunders,Belmont,2009,So,7,0,4,3,0,47,9,15,23
19024,Albert Abrahams,Bethune-Cookman,2009,Jr,17,5,5,7,0,38,7,11,20
19036,Tyrel Adams,Bethune-Cookman,2009,Sr,9,3,2,4,0,21,4,7,10
19032,Kene Anusionwu,Bethune-Cookman,2009,Sr,1,1,0,0,0,2,0,0,2
19034,Rashad Bailey,Bethune-Cookman,2009,Jr,0,0,0,0,0,0,0,0,0
19030,Javoris Bryant,Bethune-Cookman,2009,Fr,21,7,8,6,0,22,0,12,10
19033,Kevin Dukes,Bethune-Cookman,2009,Fr,29,8,13,7,2,19,0,15,4
19035,"Stanley Elliott, Jr.",Bethune-Cookman,2009,So,27,7,14,6,2,45,1,19,25
19031,"Jerry Jones, Jr.",Bethune-Cookman,2009,So,7,1,3,2,0,7,1,4,2
19027,Aric Miller,Bethune-Cookman,2009,Fr,17,6,6,5,0,20,2,12,6
19028,C.J. Reed,Bethune-Cookman,2009,So,123,39,50,34,3,118,5,53,60
19025,Alexander Starling,Bethune-Cookman,2009,Jr,30,11,11,6,1,44,2,17,25
19029,Jarrell Thomas,Bethune-Cookman,2009,Sr,22,6,10,6,1,28,3,16,9
19026,Antroine Williford,Bethune-Cookman,2009,Fr,4,1,2,1,1,5,1,1,3
17646,Moussa Camara,Binghamton,2009,Jr,18,6,7,5,0,44,2,19,23
17642,Jimmy Gray,Binghamton,2009,Fr,2,0,0,1,0,8,0,7,1
17647,Pina Guillaume,Binghamton,2009,Fr,7,0,2,5,1,18,1,11,6
17645,Mike Horn,Binghamton,2009,Fr,0,0,0,0,0,0,0,0,0
17644,Mahamoud Jabbi,Binghamton,2009,Jr,17,2,8,7,0,26,1,14,11
17649,Taylor Johnston,Binghamton,2009,Fr,2,0,1,1,1,6,0,2,4
17639,Chretien Lukusa,Binghamton,2009,Jr,69,15,25,29,9,67,3,38,26
17648,Preston Pena,Binghamton,2009,Jr,0,0,0,0,0,0,0,0,0
17650,Umur Peten,Binghamton,2009,Jr,7,1,4,2,1,18,1,10,7
17641,Javon Ralling,Binghamton,2009,Fr,0,0,0,0,0,0,0,0,0
17643,Kyrie Sutton,Binghamton,2009,So,5,1,2,2,1,33,5,13,15
17640,Dylan Talley,Binghamton,2009,Fr,54,12,20,22,4,61,4,28,29
