GMID,Name,School,Year,Grade,A1PerRimAtt,A1Per2PT,PercFTsShootF
11381,Malik Perry,Ball State,2009,Jr,0.135,0.100,75.79%
11379,Jauwan Scaife,Ball State,2009,Fr,0.103,0.030,84.78%
11384,Pierre Sneed,Ball State,2009,So,0.095,0.036,48.28%
5797,Terrence Watson,Ball State,2009,Sr,0.158,0.103,64.81%
4130,Quincy Acy,Baylor,2009,So,0.077,0.047,71.79%
1945,Tweety Carter,Baylor,2009,Sr,0.235,0.078,68.18%
4152,Givon Crump,Baylor,2009,Fr,NA,NA,NA
4154,Nolan Dennis,Baylor,2009,Fr,0.000,0.000,100.00%
4067,LaceDarius Dunn,Baylor,2009,Jr,0.137,0.058,73.33%
4145,Fred Ellis,Baylor,2009,So,0.167,0.091,50.00%
4151,Oscar Griffin,Baylor,2009,Fr,NA,NA,NA
4149,Cory Jefferson,Baylor,2009,Fr,NA,0.000,0.00%
4142,Anthony Jones,Baylor,2009,So,0.163,0.056,82.05%
4146,Josh Lomers,Baylor,2009,Sr,0.108,0.081,61.11%
4153,Dragan Sekelja,Baylor,2009,Fr,NA,NA,NA
4037,Ekpe Udoh,Baylor,2009,Jr,0.130,0.039,62.77%
4150,A.J. Walton,Baylor,2009,Fr,0.160,0.077,63.16%
14154,Brandon Baker,Belmont,2009,Fr,0.190,0.154,80.00%
14152,Adam Barnes,Belmont,2009,Fr,0.000,0.000,NA
14160,Keaton Belcher,Belmont,2009,Sr,0.057,0.038,63.16%
14159,Jordan Campbell,Belmont,2009,Jr,0.067,0.034,75.00%
14156,Ian Clark,Belmont,2009,Fr,0.092,0.043,69.84%
14155,Drew Hanlen,Belmont,2009,So,0.063,0.029,72.73%
14161,Mick Hedgepeth,Belmont,2009,So,0.096,0.068,64.86%
14157,Jon House,Belmont,2009,Jr,0.062,0.050,66.67%
3641,Kerron Johnson,Belmont,2009,Fr,0.071,0.040,86.96%
14164,Trevor Noack,Belmont,2009,Fr,0.000,0.000,42.86%
14158,Jonny Rice,Belmont,2009,So,0.000,0.000,0.00%
7930,Scott Saunders,Belmont,2009,So,0.123,0.079,63.33%
19024,Albert Abrahams,Bethune-Cookman,2009,Jr,0.089,0.036,74.36%
19036,Tyrel Adams,Bethune-Cookman,2009,Sr,0.000,0.000,80.00%
19032,Kene Anusionwu,Bethune-Cookman,2009,Sr,0.000,0.000,57.14%
19034,Rashad Bailey,Bethune-Cookman,2009,Jr,NA,NA,NA
19030,Javoris Bryant,Bethune-Cookman,2009,Fr,0.070,0.026,76.92%
