GMID,Name,School,Year,L2PA,L2PM,S2PA,S2PM,A3PA,A3PM
57831,James McDonnell,UMass Lowell,2013,1,1,0,0,0,0
57832,Carlos Taylor,UMass Lowell,2013,1,0,1,0,5,0
57833,Jahad Thomas,UMass Lowell,2014,32,13,40,22,10,5
57833,Jahad Thomas,UMass Lowell,2015,31,14,35,19,4,1
57833,Jahad Thomas,UMass Lowell,2016,26,12,41,29,2,2
57833,Jahad Thomas,UMass Lowell,2017,47,17,42,22,15,3
57834,Kerry Weldon,UMass Lowell,2013,6,3,27,12,0,0
57834,Kerry Weldon,UMass Lowell,2014,4,0,29,9,1,0
57835,Akeem Williams,UMass Lowell,2013,43,10,27,8,70,21
57836,Will Darley,UMBC,2013,3,1,3,2,10,5
57836,Will Darley,UMBC,2014,9,1,6,2,7,1
57836,Will Darley,UMBC,2015,28,13,19,9,24,8
57836,Will Darley,UMBC,2016,20,10,11,6,31,14
57837,Rodney Elliott,UMBC,2013,13,2,28,11,39,17
57837,Rodney Elliott,UMBC,2014,0,0,0,0,2,1
57837,Rodney Elliott,UMBC,2015,11,5,15,8,24,5
57837,Rodney Elliott,UMBC,2016,7,1,8,6,16,4
57838,Ben Grace,UMBC,2013,0,0,0,0,1,0
57838,Ben Grace,UMBC,2014,5,0,0,0,13,4
57838,Ben Grace,UMBC,2015,1,0,0,0,4,2
57838,Ben Grace,UMBC,2016,0,0,0,0,1,1
57839,Devarick Houston,UMBC,2013,8,2,11,6,26,7
57839,Devarick Houston,UMBC,2014,6,3,14,6,26,8
57840,David Kadiri,UMBC,2013,5,2,18,8,0,0
57840,David Kadiri,Buffalo,2015,6,1,14,9,0,0
57840,David Kadiri,Buffalo,2016,3,2,19,15,0,0
57841,"Charles Taylor, Jr.",UMBC,2013,12,5,12,6,10,1
57841,"Charles Taylor, Jr.",UMBC,2014,4,1,5,3,1,0
57841,"Charles Taylor, Jr.",Jackson State,2016,0,0,1,1,0,0
57841,"Charles Taylor, Jr.",Jackson State,2017,1,1,5,1,0,0
57842,Kurt Steidl,Vermont,2013,9,2,5,2,22,9
57842,Kurt Steidl,Vermont,2014,11,2,9,8,36,12
57842,Kurt Steidl,Vermont,2015,14,6,11,5,62,20
57842,Kurt Steidl,Vermont,2016,12,2,10,5,29,12
57843,Nas Williams,Vermont,2013,5,0,1,0,3,2
57844,Dre Wills,Vermont,2013,3,1,8,4,1,0
57844,Dre Wills,Vermont,2014,12,5,40,24,4,0
57844,Dre Wills,Vermont,2015,18,5,16,13,0,0
57844,Dre Wills,Vermont,2016,19,10,32,20,2,0
57846,Justin Graham (2),Hartford,2013,0,0,0,0,2,1
57846,Justin Graham (2),Hartford,2014,5,1,12,3,31,11
57846,Justin Graham (2),Hartford,2015,16,6,24,6,35,9
57847,Adam Oresky,Hartford,2013,0,0,0,0,0,0
57848,Jacoby Armstrong,New Hampshire,2013,27,10,25,8,12,3
57848,Jacoby Armstrong,New Hampshire,2014,31,7,33,24,4,2
57848,Jacoby Armstrong,New Hampshire,2015,27,10,32,18,6,2
57848,Jacoby Armstrong,New Hampshire,2017,14,5,8,5,8,2
57849,Daniel Dion,New Hampshire,2013,16,5,11,5,44,18
57849,Daniel Dion,New Hampshire,2014,11,1,11,4,31,6
57849,Daniel Dion,New Hampshire,2015,15,2,4,1,33,10
57849,Daniel Dion,New Hampshire,2016,15,5,8,5,33,9
57850,John Edwards,New Hampshire,2013,5,2,12,3,5,0
57850,John Edwards,New Hampshire,2014,1,1,4,1,1,0
57851,Williams Gabriel,New Hampshire,2013,1,0,6,4,0,0
57851,Williams Gabriel,New Hampshire,2014,4,0,3,0,0,0
57852,Jaleen Smith,New Hampshire,2013,7,2,10,2,32,8
57852,Jaleen Smith,New Hampshire,2014,31,9,24,10,38,9
57852,Jaleen Smith,New Hampshire,2015,31,9,22,9,38,11
57852,Jaleen Smith,New Hampshire,2016,44,17,26,12,48,12
57853,Dallas Ennema,Albany,2013,4,3,1,0,19,6
57853,Dallas Ennema,Albany,2014,17,7,4,4,31,11
57853,Dallas Ennema,Albany,2015,11,6,2,1,19,5
57853,Dallas Ennema,Albany,2016,19,6,3,2,34,14
57854,Stephan Jiggetts,Fairleigh Dickinson,2014,3,0,8,1,12,4
57854,Stephan Jiggetts,Fairleigh Dickinson,2015,22,7,15,5,23,11
57854,Stephan Jiggetts,Fairleigh Dickinson,2016,21,6,23,11,38,11
57854,Stephan Jiggetts,South Florida,2017,53,17,31,8,50,15
57855,Marlon Beck II,Binghamton,2013,18,5,10,3,56,17
57855,Marlon Beck II,Binghamton,2014,5,4,13,7,44,16
57855,Marlon Beck II,Binghamton,2015,18,7,4,1,83,25
57855,Marlon Beck II,Binghamton,2016,4,1,6,3,42,12
57856,Magnus Richards,Binghamton,2013,30,7,12,7,0,0
57856,Magnus Richards,Binghamton,2014,8,1,3,3,0,0
57857,Yosef Yacob,Binghamton,2013,23,3,22,10,37,9
57857,Yosef Yacob,Binghamton,2014,9,3,7,2,31,8
57857,Yosef Yacob,Binghamton,2016,19,7,10,7,15,5
57857,Yosef Yacob,Binghamton,2017,0,0,0,0,0,0
57858,John Rinaldi,Binghamton,2013,0,0,0,0,1,0
57858,John Rinaldi,Binghamton,2014,0,0,2,1,0,0
57858,John Rinaldi,Binghamton,2015,0,0,2,1,1,0
57858,John Rinaldi,Binghamton,2016,5,3,5,3,1,0
57859,Nick Madray,Binghamton,2013,9,4,7,5,22,6
57859,Nick Madray,Binghamton,2014,17,8,6,2,15,3
57859,Nick Madray,Eastern Michigan,2016,5,3,4,2,4,0
57859,Nick Madray,Wagner,2017,4,2,7,3,1,0
57876,Tom Wamukota,Wichita State,2014,4,0,3,3,0,0
57876,Tom Wamukota,Wichita State,2015,2,1,5,4,1,0
57878,Devin Harris,East Tennessee State,2013,1,0,1,1,2,0
57878,Devin Harris,East Tennessee State,2014,11,4,9,4,5,1
57878,Devin Harris,Jacksonville,2016,28,8,16,6,9,4
57878,Devin Harris,Jacksonville,2017,31,9,21,11,13,3
57879,Jalen Riley,East Tennessee State,2013,14,5,14,6,22,8
57879,Jalen Riley,East Tennessee State,2014,27,7,25,9,35,12
57880,Isaac Banks,East Tennessee State,2013,0,0,4,4,0,0
57880,Isaac Banks,East Tennessee State,2014,8,3,2,1,0,0
57880,Isaac Banks,East Tennessee State,2015,18,7,23,15,0,0
57880,Isaac Banks,East Tennessee State,2016,12,4,18,13,0,0
57881,A.J. Merriweather,East Tennessee State,2013,11,6,16,9,4,2
57881,A.J. Merriweather,East Tennessee State,2014,16,4,30,15,15,10
57881,A.J. Merriweather,East Tennessee State,2015,8,3,8,5,8,5
57881,A.J. Merriweather,East Tennessee State,2016,18,8,8,5,20,10
57884,Kevin Boyle,Florida Gulf Coast,2013,1,0,0,0,6,1
57885,TeJai Allen,Florida Gulf Coast,2013,1,0,1,0,0,0
57885,TeJai Allen,Florida Gulf Coast,2014,0,0,0,0,0,0
57886,Logan Hovey,Florida Gulf Coast,2014,1,0,1,1,0,0
57887,Armand Shoon,Florida Gulf Coast,2013,4,1,0,0,0,0
57887,Armand Shoon,Florida Gulf Coast,2014,0,0,1,0,1,0
57889,Matt Panaggio,Mercer,2014,2,1,1,1,1,0
57890,John Mosser,Mercer,2013,0,0,0,0,1,0
57890,John Mosser,Mercer,2014,0,0,0,0,0,0
57891,Phillip Leonard,Mercer,2013,4,2,11,3,5,1
57891,Phillip Leonard,Mercer,2014,13,5,32,15,8,1
57891,Phillip Leonard,Mercer,2015,36,14,28,13,13,2
57893,James Bento,Mercer,2013,0,0,1,0,0,0
57893,James Bento,Mercer,2014,1,0,2,1,0,0
57893,James Bento,Mercer,2015,1,0,4,3,0,0
57894,Brett Wishon,Lipscomb,2014,5,2,1,1,25,11
57894,Brett Wishon,Lipscomb,2015,7,2,4,1,18,4
57894,Brett Wishon,Lipscomb,2016,0,0,0,0,0,0
57896,Josh Williams,Lipscomb,2013,11,5,24,14,24,7
57896,Josh Williams,Lipscomb,2014,14,7,10,8,28,7
57896,Josh Williams,Lipscomb,2015,8,2,3,1,7,3
57896,Josh Williams,Lipscomb,2016,4,2,8,4,26,8
57897,Cam Miller,Lipscomb,2013,0,0,0,0,1,0
57897,Cam Miller,Lipscomb,2015,5,2,14,6,1,1
57897,Cam Miller,Lipscomb,2016,1,0,9,5,6,3
57898,Jordan Jones,Kennesaw State,2014,8,1,7,2,1,0
57898,Jordan Jones,Kennesaw State,2015,17,6,7,4,0,0
57898,Jordan Jones,Kennesaw State,2016,21,7,8,6,0,0
57898,Jordan Jones,Kennesaw State,2017,29,13,3,1,1,0
57899,Charlie Byers,Kennesaw State,2013,11,4,6,2,2,1
57899,Charlie Byers,Kennesaw State,2014,0,0,0,0,0,0
57900,Josh Murray,Jacksonville,2013,0,0,1,1,0,0
57900,Josh Murray,Jacksonville,2014,3,1,3,1,0,0
57901,J.R. Holder,Jacksonville,2013,2,1,5,4,13,4
57901,J.R. Holder,Jacksonville,2014,23,6,29,17,25,8
57901,J.R. Holder,Jacksonville,2015,17,7,11,2,10,1
57901,J.R. Holder,Jacksonville,2016,30,13,35,16,31,13
57902,Omar El Manasterly,Jacksonville,2013,1,0,0,0,0,0
57902,Omar El Manasterly,Jacksonville,2014,7,3,2,1,0,0
57902,Omar El Manasterly,Jacksonville,2015,1,0,12,6,0,0
57902,Omar El Manasterly,Jacksonville,2016,10,8,8,5,0,0
57903,Marcel White,Jacksonville,2013,10,2,6,4,10,4
57903,Marcel White,Jacksonville,2014,9,4,6,2,20,9
57903,Marcel White,Jacksonville,2015,24,9,12,7,32,12
57903,Marcel White,Jacksonville,2016,5,2,3,1,21,10
57904,Matt Rosenwinkel,Northern Kentucky,2013,0,0,1,1,1,1
57904,Matt Rosenwinkel,Northern Kentucky,2014,0,0,0,0,3,0
57904,Matt Rosenwinkel,Northern Kentucky,2015,0,0,2,1,9,1
57904,Matt Rosenwinkel,Northern Kentucky,2016,0,0,0,0,0,0
57905,Cole Murray,Northern Kentucky,2013,2,2,2,1,43,13
57905,Cole Murray,Northern Kentucky,2014,1,0,2,2,23,4
57905,Cole Murray,Northern Kentucky,2015,7,3,4,3,29,13
57905,Cole Murray,Northern Kentucky,2016,1,0,3,3,49,15
57906,Jordan Jackson,Northern Kentucky,2013,23,7,52,27,12,4
57906,Jordan Jackson,Northern Kentucky,2014,5,2,15,6,2,1
57907,Dean Danos,Northern Kentucky,2013,11,3,7,2,13,4
57907,Dean Danos,Northern Kentucky,2014,2,0,1,0,7,0
57907,Dean Danos,Northern Kentucky,2015,6,0,1,0,19,8
57908,Deontae Cole,Northern Kentucky,2013,3,0,0,0,19,5
57908,Deontae Cole,Northern Kentucky,2014,2,1,0,0,21,5
57908,Deontae Cole,Northern Kentucky,2015,3,1,1,1,21,8
57909,Daniel Camps,Northern Kentucky,2013,8,3,27,12,5,0
57909,Daniel Camps,Northern Kentucky,2014,1,0,11,9,4,1
57910,Devin Wilson (2),North Florida,2013,4,1,3,0,12,2
57910,Devin Wilson (2),North Florida,2014,1,1,2,0,1,0
57911,Jalen Nesbitt,North Florida,2013,13,2,14,5,31,10
57911,Jalen Nesbitt,North Florida,2014,5,2,29,13,17,3
57912,Dallas Moore,North Florida,2013,20,8,20,11,27,8
57912,Dallas Moore,North Florida,2014,18,6,17,8,25,8
57912,Dallas Moore,North Florida,2015,21,7,27,15,29,14
57912,Dallas Moore,North Florida,2016,19,7,33,22,53,15
57913,Chris Davenport (2),North Florida,2013,9,5,16,10,8,2
57913,Chris Davenport (2),North Florida,2014,11,4,26,11,11,3
57913,Chris Davenport (2),North Florida,2015,14,5,16,8,19,8
57913,Chris Davenport (2),North Florida,2016,21,7,14,11,23,9
57914,Sean Brennan,North Florida,2013,0,0,2,0,1,0
57915,Romelo Banks,North Florida,2013,19,8,13,4,0,0
57915,Romelo Banks,North Florida,2014,24,4,15,9,0,0
57915,Romelo Banks,North Florida,2016,17,7,14,8,0,0
57917,ShunQuez Stephens,USC Upstate,2013,5,2,5,4,15,3
57917,ShunQuez Stephens,USC Upstate,2014,12,3,7,4,19,10
57918,Josh Cuthbertson,USC Upstate,2013,1,0,0,0,7,3
57918,Josh Cuthbertson,USC Upstate,2014,11,2,8,6,28,10
57918,Josh Cuthbertson,USC Upstate,2015,10,2,9,6,44,13
57918,Josh Cuthbertson,USC Upstate,2016,12,2,7,3,29,13
57919,Karim Mawuenyega,USC Upstate,2013,2,1,4,1,23,6
57919,Karim Mawuenyega,USC Upstate,2014,1,0,0,0,1,0
57920,Daniel Bridges,USC Upstate,2014,0,0,0,0,1,0
57921,Andrew Zelis,Northern Illinois,2015,3,1,5,3,0,0
57921,Andrew Zelis,Northern Illinois,2017,3,2,1,1,0,0
57922,B.J. Glasford,Stetson,2013,10,5,3,1,16,3
57922,B.J. Glasford,Stetson,2014,9,4,4,3,20,6
57922,B.J. Glasford,Stetson,2016,9,2,4,1,11,3
57922,B.J. Glasford,Stetson,2017,21,9,14,4,33,12
57923,Glenn Baral,Stetson,2013,6,1,3,1,15,5
58039,Hansel Atencia,Liberty,2015,3,2,2,1,2,0
58047,Richaud Gittens,Weber State,2013,16,6,10,4,15,9
58047,Richaud Gittens,Weber State,2014,17,4,8,5,36,10
58047,Richaud Gittens,Weber State,2015,5,2,1,0,21,5
58047,Richaud Gittens,Weber State,2016,2,1,2,1,4,1
58047,Richaud Gittens,Seattle,2017,11,2,11,6,44,12
58048,J.C. Kennedy,Weber State,2015,0,0,0,0,2,2
58051,Jeremy Senglin,Weber State,2013,10,4,8,4,55,19
58051,Jeremy Senglin,Weber State,2014,22,12,9,2,33,11
58051,Jeremy Senglin,Weber State,2015,30,14,15,4,77,30
58051,Jeremy Senglin,Weber State,2016,29,8,20,15,68,27
58054,Nick Hornsby,Sacramento State,2013,22,4,5,3,8,4
58054,Nick Hornsby,Sacramento State,2014,36,15,30,16,5,1
58054,Nick Hornsby,Sacramento State,2015,37,13,15,7,5,1
58054,Nick Hornsby,Sacramento State,2016,38,15,19,11,18,10
58055,Trevis Jackson,Sacramento State,2013,1,0,0,0,1,0
58055,Trevis Jackson,Sacramento State,2014,0,0,2,0,0,0
58055,Trevis Jackson,Sacramento State,2015,1,1,0,0,3,0
58055,Trevis Jackson,Sacramento State,2016,1,0,3,1,10,4
58056,Zach Mills,Sacramento State,2013,31,11,3,1,21,7
58056,Zach Mills,Sacramento State,2014,29,15,7,4,23,12
58057,Eric Stuteville,Sacramento State,2013,29,13,12,7,2,1
58057,Eric Stuteville,Sacramento State,2014,21,6,37,29,0,0
58057,Eric Stuteville,Sacramento State,2015,17,4,24,17,0,0
58057,Eric Stuteville,Sacramento State,2016,21,10,32,22,0,0
58059,Race Parsons,Southern Utah,2013,4,1,4,1,25,8
58059,Race Parsons,Southern Utah,2014,7,3,6,3,19,8
58059,Race Parsons,Southern Utah,2015,2,2,14,7,25,9
58059,Race Parsons,Southern Utah,2016,1,0,3,1,14,3
58060,Casey Oliverson,Southern Utah,2013,33,11,15,12,1,1
58060,Casey Oliverson,Southern Utah,2014,29,15,21,17,0,0
58060,Casey Oliverson,Southern Utah,2015,31,15,31,18,1,0
58061,John Marshall,Southern Utah,2013,15,7,14,4,1,1
58061,John Marshall,Southern Utah,2014,6,2,7,1,3,0
58061,John Marshall,Southern Utah,2015,8,1,15,10,12,6
58061,John Marshall,Southern Utah,2016,16,2,16,8,15,4
58062,Juwan Major,Southern Utah,2013,28,14,11,5,4,2
58062,Juwan Major,Southern Utah,2014,12,4,10,6,3,1
58062,Juwan Major,Southern Utah,2015,17,6,25,9,1,0
58063,Trey Kennedy,Southern Utah,2013,32,9,9,4,19,3
58063,Trey Kennedy,Southern Utah,2014,10,4,9,4,12,7
58063,Trey Kennedy,Southern Utah,2015,17,5,13,7,40,13
58064,Taylor Jenson,Southern Utah,2013,0,0,0,0,0,0
58066,McKay Anderson,Southern Utah,2013,5,2,1,0,3,1
58067,Corey Spence,Northern Colorado,2013,4,0,21,7,9,1
58067,Corey Spence,Northern Colorado,2014,2,0,11,5,26,7
58068,Jordan Wilson,Northern Colorado,2013,22,9,7,4,38,15
58068,Jordan Wilson,Northern Colorado,2014,13,5,5,3,23,12
58068,Jordan Wilson,Northern Colorado,2015,41,23,3,0,56,17
58071,Anthony Johnson (6),Northern Colorado,2013,10,3,2,1,7,5
58071,Anthony Johnson (6),Northern Colorado,2014,4,1,0,0,10,7
58071,Anthony Johnson (6),Northern Colorado,2015,15,4,15,9,41,18
58071,Anthony Johnson (6),Northern Colorado,2017,10,5,9,3,23,3
58072,Jon'te Dotson,Northern Colorado,2013,0,0,0,0,1,0
58072,Jon'te Dotson,Northern Colorado,2014,0,0,0,0,3,2
58072,Jon'te Dotson,Northern Colorado,2015,1,0,1,0,7,0
58072,Jon'te Dotson,Northern Colorado,2016,6,2,12,4,22,5
58073,Jeremy Verhagen,Northern Colorado,2014,6,1,8,7,0,0
58073,Jeremy Verhagen,Northern Colorado,2015,15,8,14,7,5,0
58074,Tiegbe Bamba,Portland State,2014,16,7,24,17,17,5
58075,Kyle Benton,Portland State,2013,2,1,0,0,0,0
58075,Kyle Benton,North Carolina Central,2015,2,2,33,20,0,0
58075,Kyle Benton,North Carolina Central,2016,4,2,28,19,0,0
58076,Zach Gengler,Portland State,2013,7,2,1,0,6,3
58076,Zach Gengler,Portland State,2014,6,1,5,3,16,7
58076,Zach Gengler,Portland State,2015,15,5,3,3,27,6
58076,Zach Gengler,Portland State,2016,0,0,0,0,0,0
58077,Sebastian Suarez,Portland State,2014,4,3,2,1,9,2
58078,DaShaun Wiggins,Portland State,2013,38,14,12,9,29,7
58078,DaShaun Wiggins,Portland State,2014,34,10,7,2,43,19
58079,Quinton Hooker,North Dakota,2013,13,5,3,2,14,4
58079,Quinton Hooker,North Dakota,2014,33,8,18,8,15,7
58079,Quinton Hooker,North Dakota,2015,29,14,12,6,24,8
58079,Quinton Hooker,North Dakota,2016,31,11,8,4,37,13
58080,"Mario Dunn, Jr.",Montana,2013,7,2,11,7,14,8
58080,"Mario Dunn, Jr.",Montana,2014,23,6,17,11,37,17
58080,"Mario Dunn, Jr.",Montana,2015,10,5,8,5,7,0
58080,"Mario Dunn, Jr.",Montana,2016,5,1,2,1,7,3
58081,Brandon Gfeller,Montana,2013,2,0,2,1,19,6
58081,Brandon Gfeller,Montana,2014,3,1,0,0,61,24
58081,Brandon Gfeller,Montana,2015,6,2,2,1,50,15
58081,Brandon Gfeller,Montana,2016,0,0,2,1,22,7
58082,Chris Kemp,Montana,2013,1,1,21,13,0,0
58082,Chris Kemp,Montana,2014,10,3,18,11,0,0
58084,Stephan Holm,Montana State,2013,3,2,2,2,24,11
58084,Stephan Holm,Montana State,2014,9,4,8,4,37,13
58084,Stephan Holm,Montana State,2015,4,1,12,5,20,11
58086,Jordan Banks,Northern Arizona,2013,0,0,0,0,0,0
58087,Aaseem Dixon,Northern Arizona,2013,41,15,17,7,74,29
58087,Aaseem Dixon,Northern Arizona,2014,44,10,26,8,76,29
58088,Jaran Hoover,Northern Arizona,2014,0,0,0,0,1,1
58089,Ako Kaluna,Northern Arizona,2013,17,6,11,5,10,2
58089,Ako Kaluna,Northern Arizona,2014,36,12,26,13,21,9
58089,Ako Kaluna,Northern Arizona,2015,52,10,28,17,23,10
58089,Ako Kaluna,Northern Arizona,2016,39,14,19,14,18,4
58090,Travis Meeker,Northern Arizona,2013,0,0,1,0,4,1
58091,Christopher Miller,Northern Arizona,2013,10,1,4,1,6,3
58091,Christopher Miller,Northern Arizona,2014,1,0,1,0,0,0
58091,Christopher Miller,Grand Canyon,2016,0,0,0,0,0,0
58092,Zachary Reynolds,Northern Arizona,2013,1,0,0,0,0,0
58092,Zachary Reynolds,Northern Arizona,2014,3,0,5,4,0,0
58093,Alex Stecca,Northern Arizona,2013,0,0,0,0,0,0
58093,Alex Stecca,Northern Arizona,2014,0,0,0,0,0,0
58093,Alex Stecca,Northern Arizona,2015,0,0,0,0,0,0
58094,Kris Yanku,Northern Arizona,2013,34,7,26,12,16,7
58094,Kris Yanku,Northern Arizona,2014,45,10,47,12,29,6
58094,Kris Yanku,Northern Arizona,2015,50,5,17,5,22,7
58095,Ben Wilson,Idaho State,2013,0,0,0,0,0,0
58095,Ben Wilson,Idaho State,2014,30,13,17,7,2,0
58095,Ben Wilson,Idaho State,2015,29,9,13,8,0,0
58096,Scotty Tyler,Idaho State,2013,7,4,2,1,1,0
58096,Scotty Tyler,Milwaukee,2015,1,0,1,0,0,0
58097,Jeffrey Solarin,Idaho State,2013,18,6,31,18,1,0
58097,Jeffrey Solarin,Idaho State,2014,33,14,41,22,0,0
58098,Justin Smith,Idaho State,2013,3,1,5,3,6,1
58098,Justin Smith,Idaho State,2014,0,0,0,0,0,0
58098,Justin Smith,Idaho State,2015,2,0,2,1,0,0
58100,Erik Nakken,Idaho State,2014,1,0,0,0,3,0
58100,Erik Nakken,Idaho State,2015,2,1,0,0,16,5
58100,Erik Nakken,Idaho State,2016,1,1,0,0,17,4
58100,Erik Nakken,Idaho State,2017,1,0,0,0,8,2
58101,Ajak Magot,Idaho State,2013,4,2,3,1,0,0
58101,Ajak Magot,Idaho State,2014,16,6,5,4,1,0
58102,Evann Hall,Idaho State,2013,22,10,4,2,9,1
58102,Evann Hall,Idaho State,2014,25,5,12,6,7,1
58102,Evann Hall,Idaho State,2015,9,4,1,1,0,0
58103,Ognjen Miljkovic,Eastern Washington,2013,8,1,6,4,18,7
58103,Ognjen Miljkovic,Eastern Washington,2014,12,4,12,4,29,14
58104,Sir Washington,Eastern Washington,2014,4,1,5,2,5,2
58104,Sir Washington,Eastern Washington,2015,13,7,15,7,18,4
58104,Sir Washington,Eastern Washington,2016,20,3,17,6,22,6
58104,Sir Washington,Eastern Washington,2017,27,10,14,3,37,12
58105,Drew Brandon,Eastern Washington,2013,16,4,15,6,36,8
58105,Drew Brandon,Eastern Washington,2014,24,8,20,13,30,6
58119,Jacob Casper,UNC Asheville,2013,0,0,1,0,1,1
58119,Jacob Casper,UNC Asheville,2014,0,0,1,1,2,0
58120,David Robertson,UNC Asheville,2013,13,5,13,6,28,7
58120,David Robertson,UNC Asheville,2014,16,6,19,9,37,11
58120,David Robertson,UNC Asheville,2015,6,0,5,2,9,3
58120,David Robertson,UNC Asheville,2016,6,4,3,1,34,14
58121,Andrew Rowsey,UNC Asheville,2013,21,6,17,6,58,22
58121,Andrew Rowsey,UNC Asheville,2014,24,9,7,2,58,16
58121,Andrew Rowsey,Marquette,2016,16,4,3,3,37,16
58121,Andrew Rowsey,Marquette,2017,42,15,9,1,78,31
58122,Ethan Wilmoth,UNC Asheville,2013,0,0,0,0,3,0
58122,Ethan Wilmoth,UNC Asheville,2014,0,0,0,0,3,2
58123,Trey Chapman,Virginia Military,2013,5,0,6,0,8,2
58123,Trey Chapman,Virginia Military,2014,11,4,12,6,5,2
58123,Trey Chapman,Virginia Military,2015,23,3,20,11,10,5
58123,Trey Chapman,Virginia Military,2016,15,5,17,7,12,4
58124,Julian Eleby,Virginia Military,2013,2,0,2,2,1,0
58124,Julian Eleby,Virginia Military,2014,14,1,15,5,26,7
58124,Julian Eleby,Virginia Military,2015,28,9,15,9,54,23
58124,Julian Eleby,Virginia Military,2016,19,5,14,9,43,13
58125,Ot Elmore,Texas-RGV,2015,3,0,0,0,8,4
58125,Ot Elmore,Marshall,2016,0,0,0,0,1,1
58125,Ot Elmore,Marshall,2017,0,0,0,0,0,0
58126,Craig Hinton,Virginia Military,2013,1,0,0,0,3,1
58126,Craig Hinton,Virginia Military,2014,2,1,3,2,11,3
58126,Craig Hinton,Appalachian State,2016,3,2,3,2,13,4
58126,Craig Hinton,Appalachian State,2017,4,2,5,4,20,9
58127,Tyrell Mason,Virginia Military,2013,0,0,0,0,0,0
58127,Tyrell Mason,Virginia Military,2014,0,0,0,0,0,0
58128,Q.J. Peterson,Virginia Military,2013,18,5,16,8,31,7
58128,Q.J. Peterson,Virginia Military,2014,8,3,7,5,14,5
58128,Q.J. Peterson,Virginia Military,2015,28,10,18,6,50,15
58128,Q.J. Peterson,Virginia Military,2016,26,12,24,14,28,6
58129,Ryan Kemrite,Liberty,2014,1,0,6,4,30,14
58129,Ryan Kemrite,Liberty,2015,7,1,15,9,46,20
58129,Ryan Kemrite,Liberty,2016,9,4,21,14,81,29
58129,Ryan Kemrite,Liberty,2017,9,4,19,8,70,28
58130,Devon Pekas,Liberty,2013,0,0,0,0,0,0
58130,Devon Pekas,North Dakota,2016,0,0,0,0,2,0
58131,Joe Retic,Liberty,2013,14,9,16,7,4,3
58131,Joe Retic,Liberty,2014,12,3,13,3,12,5
58132,Darrion Allen,Longwood,2013,10,4,12,6,13,2
58132,Darrion Allen,Longwood,2014,19,4,17,5,21,7
58132,Darrion Allen,Longwood,2015,26,9,11,4,31,14
58132,Darrion Allen,Longwood,2016,28,6,24,11,46,12
58133,Isaac Belton,Longwood,2013,3,0,0,0,7,2
58133,Isaac Belton,Longwood,2014,0,0,3,3,3,2
58133,Isaac Belton,Longwood,2015,3,0,1,0,11,4
58133,Isaac Belton,Longwood,2016,6,3,5,2,16,5
58134,Leron Fisher,Longwood,2013,14,1,24,8,18,6
58134,Leron Fisher,Longwood,2014,9,3,30,11,30,13
58134,Leron Fisher,Longwood,2015,4,0,7,5,13,7
58135,Damarion Geter,Longwood,2013,10,4,9,3,0,0
58135,Damarion Geter,Longwood,2014,4,3,19,12,0,0
58135,Damarion Geter,Longwood,2016,2,0,0,0,0,0
58135,Damarion Geter,Longwood,2017,14,5,21,14,1,0
58139,Will Adams (2),Presbyterian,2013,1,1,1,0,6,1
58139,Will Adams (2),Presbyterian,2014,1,0,2,0,6,1
58139,Will Adams (2),Presbyterian,2015,3,1,2,1,26,7
58139,Will Adams (2),Presbyterian,2016,14,2,9,2,22,10
58140,Markus Terry,Presbyterian,2013,25,10,12,9,18,5
58140,Markus Terry,Presbyterian,2014,27,9,8,5,31,12
58140,Markus Terry,Presbyterian,2015,20,7,9,4,23,7
58141,Josh Davenport,Winthrop,2013,13,3,7,5,4,3
58141,Josh Davenport,Winthrop,2014,8,2,10,6,6,1
58141,Josh Davenport,Winthrop,2015,9,7,14,9,2,1
58141,Josh Davenport,Winthrop,2016,19,5,8,3,0,0
58142,Keon Johnson,Winthrop,2013,15,8,14,3,31,10
58142,Keon Johnson,Winthrop,2014,13,8,14,3,25,6
58142,Keon Johnson,Winthrop,2015,15,5,24,8,27,14
58142,Keon Johnson,Winthrop,2016,25,8,16,6,44,20
58143,Duby Okeke,Winthrop,2014,8,5,6,4,0,0
58143,Duby Okeke,Winthrop,2015,3,2,14,9,0,0
58143,Duby Okeke,Winthrop,2016,1,0,11,9,0,0
58143,Duby Okeke,Nebraska,2017,2,0,1,0,0,0
58144,Hunter Sadlon,Winthrop,2013,0,0,0,0,0,0
58144,Hunter Sadlon,Winthrop,2014,0,0,0,0,0,0
58144,Hunter Sadlon,Winthrop,2015,2,0,0,0,0,0
58144,Hunter Sadlon,Winthrop,2016,1,0,0,0,0,0
58145,Jarad Scott,Winthrop,2013,3,2,4,2,3,0
58145,Jarad Scott,Winthrop,2014,2,1,4,2,4,3
58145,Jarad Scott,Winthrop,2015,0,0,2,1,5,2
58146,Josh Cameron,Coastal Carolina,2013,28,10,16,7,47,17
58146,Josh Cameron,Coastal Carolina,2014,29,10,10,3,43,13
58147,Tarique Thompson,High Point,2013,4,2,6,5,1,0
58147,Tarique Thompson,High Point,2014,34,14,31,13,2,1
58147,Tarique Thompson,High Point,2015,13,4,14,6,1,1
58147,Tarique Thompson,High Point,2016,16,6,41,29,5,1
58148,Jorge Perez-Laham,High Point,2013,16,4,8,2,16,5
58148,Jorge Perez-Laham,High Point,2014,7,3,6,3,12,5
