GMID,Name,School,Year,Position,PercShotS2P,S2PPer,PercS2PAinT,DunkA,PercDunkinT,PercShotl2P,L2PPer,PercL2PAinT,A3P,PercShot3P,ThreePer,Perc3PAinT
79866,Aubrey Dawkins,Michigan,2014,Wing,17.26%,69.09%,84.53%,77.75%,33.76%,NR,NR,NR,80.39%,74.77%,93.74%,77.51%
79866,Aubrey Dawkins,Michigan,2015,Wing,16.39%,83.63%,79.09%,87.94%,53.10%,NR,NR,NR,81.47%,66.98%,74.47%,64.85%
79868,Ricky Doyle,Michigan,2014,Wing,NR,NR,NR,0.00%,NR,99.70%,85.34%,82.70%,0.00%,NR,NR,NR
79868,Ricky Doyle,Michigan,2015,Wing,NR,NR,NR,65.43%,NR,NR,NR,NR,0.00%,NR,NR,NR
79868,Ricky Doyle,Florida Gulf Coast,2017,Wing,NR,NR,NR,65.43%,NR,NR,NR,NR,0.00%,NR,NR,NR
79869,Javon Bess,Michigan State,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79869,Javon Bess,Michigan State,2015,Wing,85.23%,60.13%,72.56%,27.75%,NR,NR,NR,NR,23.18%,NR,NR,NR
79869,Javon Bess,Saint Louis,2017,Wing,58.90%,66.94%,60.17%,65.43%,NR,NR,NR,NR,57.83%,NR,NR,NR
79870,Marvin Clark Jr.,Michigan State,2014,Wing,50.43%,84.82%,67.77%,82.06%,59.87%,NR,NR,NR,55.51%,NR,NR,NR
79870,Marvin Clark Jr.,Michigan State,2015,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,43.47%,NR,NR,NR
79870,Marvin Clark Jr.,St. John's,2017,Wing,27.32%,38.94%,63.54%,44.66%,NR,NR,NR,NR,88.22%,65.80%,55.94%,45.33%
79871,Kenny Goins,Michigan State,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79871,Kenny Goins,Michigan State,2016,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
79871,Kenny Goins,Michigan State,2017,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
79872,Josh Martin,Minnesota,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79872,Josh Martin,Cal Poly,2015,Wing,NR,NR,NR,65.43%,NR,NR,NR,NR,14.93%,NR,NR,NR
79872,Josh Martin,Cal Poly,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,23.18%,NR,NR,NR
79872,Josh Martin,Cal Poly,2017,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,34.58%,NR,NR,NR
79880,Jake Hammond,Nebraska,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79880,Jake Hammond,Nebraska,2015,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
79893,Nick Segura,Northwestern,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79894,Gavin Skelly,Northwestern,2014,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
79894,Gavin Skelly,Northwestern,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79894,Gavin Skelly,Northwestern,2016,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,43.47%,NR,NR,NR
79894,Gavin Skelly,Northwestern,2017,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,34.58%,NR,NR,NR
79905,Vince Edwards,Purdue,2014,Wing,37.49%,76.99%,46.45%,27.75%,NR,NR,NR,NR,67.85%,58.81%,78.01%,30.88%
79905,Vince Edwards,Purdue,2015,Wing,14.21%,38.73%,73.33%,82.06%,72.23%,68.51%,47.50%,76.47%,88.98%,54.31%,71.05%,88.46%
79905,Vince Edwards,Purdue,2016,Wing,17.62%,38.41%,36.97%,82.06%,51.41%,63.16%,63.51%,60.06%,83.46%,54.93%,76.79%,68.90%
79905,Vince Edwards,Purdue,2017,Wing,33.82%,58.96%,42.62%,65.43%,NR,72.46%,96.62%,53.96%,62.16%,28.38%,21.20%,13.54%
79911,Jacquil Taylor,Purdue,2014,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,0.00%,NR,NR,NR
79911,Jacquil Taylor,Purdue,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79911,Jacquil Taylor,Purdue,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79917,Ryan Johnson,Mercer,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,39.17%,NR,NR,NR
79917,Ryan Johnson,Mercer,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,29.47%,NR,NR,NR
79943,Geremy McKay,Albany,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79943,Geremy McKay,Eastern Washington,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79946,Ray Sanders,Albany,2014,Wing,87.11%,26.37%,67.84%,72.11%,NR,NR,NR,NR,39.17%,NR,NR,NR
79946,Ray Sanders,Albany,2015,Wing,84.00%,31.94%,83.55%,56.67%,NR,NR,NR,NR,52.77%,NR,NR,NR
79949,Greig Stire,Albany,2014,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
79949,Greig Stire,Albany,2015,Wing,91.01%,31.53%,4.24%,65.43%,NR,NR,NR,NR,0.00%,NR,NR,NR
79949,Greig Stire,Albany,2016,Wing,100.00%,21.62%,6.16%,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
79949,Greig Stire,Albany,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79949,Greig Stire,Albany,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79957,Jordan McRae (2),Binghamton,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79957,Jordan McRae (2),Binghamton,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79957,Jordan McRae (2),Binghamton,2017,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
79958,Bobby Ahearn,Binghamton,2014,Wing,80.06%,8.08%,30.69%,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79958,Bobby Ahearn,Binghamton,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79958,Bobby Ahearn,Binghamton,2016,Wing,35.32%,87.05%,15.07%,0.00%,NR,NR,NR,NR,62.16%,52.26%,82.03%,50.80%
79958,Bobby Ahearn,Binghamton,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,23.18%,NR,NR,NR
79959,Justin McFadden,Binghamton,2014,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,43.47%,NR,NR,NR
79959,Justin McFadden,Binghamton,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,47.09%,NR,NR,NR
79959,Justin McFadden,Binghamton,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79960,John Schurman,Binghamton,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,52.77%,NR,NR,NR
79960,John Schurman,Binghamton,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,52.77%,NR,NR,NR
79960,John Schurman,Binghamton,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,39.17%,NR,NR,NR
79961,Willie Rodriguez,Binghamton,2014,Wing,49.51%,56.93%,52.50%,56.67%,NR,53.98%,28.41%,53.62%,69.60%,24.38%,21.78%,64.64%
79961,Willie Rodriguez,Binghamton,2015,Wing,60.44%,59.11%,39.29%,72.11%,NR,NR,NR,NR,65.93%,27.71%,30.10%,30.66%
79961,Willie Rodriguez,Binghamton,2016,Wing,37.26%,50.88%,53.60%,27.75%,NR,65.37%,35.10%,71.80%,62.16%,28.99%,82.03%,50.80%
79961,Willie Rodriguez,Binghamton,2017,Wing,70.65%,16.87%,61.16%,0.00%,NR,NR,NR,NR,62.16%,27.78%,39.68%,40.82%
79962,John Carroll,Hartford,2014,Wing,87.61%,50.44%,10.22%,44.66%,NR,NR,NR,NR,14.93%,NR,NR,NR
79962,John Carroll,Hartford,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79962,John Carroll,Hartford,2016,Wing,91.17%,16.87%,22.39%,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79962,John Carroll,Hartford,2017,Wing,72.95%,33.97%,20.98%,56.67%,NR,NR,NR,NR,29.47%,NR,NR,NR
79963,Jack Hobbs,Hartford,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,29.47%,NR,NR,NR
79963,Jack Hobbs,Hartford,2015,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,59.94%,69.89%,5.90%,33.89%
79963,Jack Hobbs,Hartford,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,79.27%,91.26%,62.77%,28.42%
79963,Jack Hobbs,Hartford,2017,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,69.60%,80.26%,7.28%,18.35%
79964,Noah Arciero,Hartford,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79965,Mark Plousis,Hartford,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79965,Mark Plousis,Hartford,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79965,Mark Plousis,Hartford,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79965,Mark Plousis,Hartford,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79969,Iba Camara,New Hampshire,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79969,Iba Camara,New Hampshire,2015,Wing,85.57%,21.62%,8.19%,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79969,Iba Camara,New Hampshire,2016,Wing,90.33%,56.77%,12.15%,72.11%,NR,NR,NR,NR,0.00%,NR,NR,NR
79969,Iba Camara,New Hampshire,2017,Wing,88.62%,83.63%,6.44%,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79970,Ronnel Jordan,New Hampshire,2014,Wing,77.06%,21.21%,94.25%,44.66%,NR,NR,NR,NR,29.47%,NR,NR,NR
79970,Ronnel Jordan,New Hampshire,2015,Wing,38.88%,66.46%,70.69%,0.00%,NR,NR,NR,NR,78.16%,48.55%,28.79%,36.37%
79972,Tyrell Sturdivant,Stony Brook,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79972,Tyrell Sturdivant,Stony Brook,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79972,Tyrell Sturdivant,Stony Brook,2016,Wing,67.01%,37.34%,3.36%,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
79972,Tyrell Sturdivant,Stony Brook,2017,Wing,39.06%,33.97%,33.59%,56.67%,NR,NR,NR,NR,65.93%,57.13%,71.05%,27.76%
79973,Bryan Sekunda,Stony Brook,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,78.16%,94.29%,66.47%,74.99%
79973,Bryan Sekunda,Stony Brook,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,83.46%,93.04%,82.20%,54.56%
79973,Bryan Sekunda,Stony Brook,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,85.94%,89.71%,65.26%,45.87%
79973,Bryan Sekunda,Stony Brook,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,79.27%,94.43%,12.67%,61.60%
79975,Dontavious Smith,UMass Lowell,2015,Wing,91.33%,46.71%,46.49%,65.43%,NR,NR,NR,NR,0.00%,NR,NR,NR
79975,Dontavious Smith,UMass Lowell,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79975,Dontavious Smith,UMass Lowell,2017,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
79978,Josh Gantz,UMass Lowell,2015,Wing,38.98%,18.18%,39.74%,0.00%,NR,NR,NR,NR,62.16%,52.26%,64.96%,41.87%
79978,Josh Gantz,UMass Lowell,2017,Wing,27.14%,78.33%,39.31%,0.00%,NR,NR,NR,NR,81.47%,74.43%,64.96%,72.99%
79979,Jordan Rhodes,UMass Lowell,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79980,Brad Schaub,UMass Lowell,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79984,Zach McRoberts,Vermont,2014,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
79984,Zach McRoberts,Indiana,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,29.47%,NR,NR,NR
79984,Zach McRoberts,Indiana,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,23.18%,NR,NR,NR
79986,Quadri Moore,Cincinnati,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
79986,Quadri Moore,Cincinnati,2015,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,29.47%,NR,NR,NR
79986,Quadri Moore,Cincinnati,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,39.17%,NR,NR,NR
79987,Gary Clark (2),Cincinnati,2014,Wing,76.77%,84.63%,32.43%,89.92%,66.10%,NR,NR,NR,29.47%,NR,NR,NR
79987,Gary Clark (2),Cincinnati,2015,Wing,45.65%,76.57%,32.08%,82.06%,59.87%,NR,NR,NR,55.51%,NR,NR,NR
79987,Gary Clark (2),Cincinnati,2016,Wing,58.83%,66.46%,40.73%,82.06%,34.15%,NR,NR,NR,39.17%,NR,NR,NR
79987,Gary Clark (2),Cincinnati,2017,Wing,60.71%,60.28%,50.12%,85.45%,23.90%,NR,NR,NR,62.16%,24.96%,94.67%,65.84%
79989,Kanu Aja,East Carolina,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79989,Kanu Aja,East Carolina,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79990,Grant Bryant,East Carolina,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79990,Grant Bryant,East Carolina,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
79993,Bertrand Nkali,Houston,2015,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
79993,Bertrand Nkali,Houston,2016,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
79995,J.C. Washington,Houston,2014,Wing,70.65%,5.65%,49.51%,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
79995,J.C. Washington,Charlotte,2016,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
79996,Trahson Burrell,Memphis,2014,Wing,57.38%,53.58%,75.34%,89.92%,52.91%,NR,NR,NR,74.25%,33.35%,17.73%,75.80%
79996,Trahson Burrell,Memphis,2015,Wing,50.20%,23.69%,87.40%,95.28%,52.98%,NR,NR,NR,90.10%,45.75%,77.03%,94.22%
79998,Chris Hawkins,Memphis,2014,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,14.93%,NR,NR,NR
80009,"Stanley Roberts, Jr.",Tulane,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80010,Micah Littlejohn,Tulsa,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80025,Shaheed Davis,UCF,2014,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,34.58%,NR,NR,NR
80025,Shaheed Davis,UCF,2015,Wing,38.98%,46.71%,39.74%,65.43%,NR,NR,NR,NR,63.99%,56.62%,35.14%,33.28%
80054,Donte Grantham,Clemson,2014,Wing,9.12%,87.05%,46.09%,65.43%,NR,56.58%,13.24%,73.25%,86.71%,68.57%,32.49%,46.34%
80054,Donte Grantham,Clemson,2015,Wing,26.41%,19.75%,75.89%,72.11%,NR,NR,NR,NR,93.02%,70.54%,63.61%,65.97%
80054,Donte Grantham,Clemson,2016,Wing,28.13%,36.48%,68.02%,82.06%,31.44%,NR,NR,NR,82.48%,54.09%,53.07%,52.17%
80054,Donte Grantham,Clemson,2017,Wing,46.88%,70.97%,64.09%,89.92%,24.66%,NR,NR,NR,69.60%,37.84%,72.44%,68.80%
80066,Phil Cofer,Florida State,2014,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,14.93%,NR,NR,NR
80066,Phil Cofer,Florida State,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80066,Phil Cofer,Florida State,2016,Wing,91.17%,6.41%,54.87%,65.43%,NR,NR,NR,NR,0.00%,NR,NR,NR
80066,Phil Cofer,Florida State,2017,Wing,54.77%,48.17%,68.57%,91.60%,23.60%,NR,NR,NR,77.00%,36.08%,20.46%,28.16%
80075,Abdoulaye Gueye,Georgia Tech,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80075,Abdoulaye Gueye,Georgia Tech,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
80075,Abdoulaye Gueye,Georgia Tech,2017,Wing,76.77%,76.06%,39.74%,77.75%,36.69%,NR,NR,NR,23.18%,NR,NR,NR
80098,Omar Sherman,Miami (FL),2014,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,63.99%,87.02%,18.65%,32.14%
80098,Omar Sherman,Louisiana Tech,2016,Wing,29.55%,80.72%,10.68%,72.11%,NR,90.87%,62.88%,35.48%,34.58%,NR,NR,NR
80102,Chris Stowell,Miami (FL),2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80102,Chris Stowell,Miami (FL),2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80102,Chris Stowell,Miami (FL),2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80102,Chris Stowell,Miami (FL),2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80111,Caleb Martin,NC State,2014,Wing,23.67%,16.87%,62.28%,65.43%,NR,NR,NR,NR,75.64%,69.07%,53.07%,62.71%
80111,Caleb Martin,NC State,2015,Wing,13.80%,53.50%,62.75%,65.43%,NR,NR,NR,NR,92.55%,82.85%,41.54%,45.90%
80111,Caleb Martin,Nevada,2017,Wing,27.05%,66.46%,69.18%,82.06%,67.04%,37.23%,30.13%,60.30%,94.75%,55.40%,43.33%,42.85%
80112,Cody Martin,NC State,2014,Wing,91.17%,56.77%,74.66%,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
80112,Cody Martin,NC State,2015,Wing,67.01%,36.09%,72.73%,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
80112,Cody Martin,Nevada,2017,Wing,45.65%,66.46%,81.65%,85.45%,37.40%,82.76%,53.60%,83.59%,63.99%,10.26%,5.68%,85.83%
80115,Ryan Luther,Pittsburgh,2014,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,14.93%,NR,NR,NR
80115,Ryan Luther,Pittsburgh,2015,Wing,87.05%,70.97%,56.75%,72.11%,NR,NR,NR,NR,14.93%,NR,NR,NR
80115,Ryan Luther,Pittsburgh,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,39.17%,NR,NR,NR
80115,Ryan Luther,Pittsburgh,2017,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,29.47%,NR,NR,NR
80116,Isaiah Wilkins,Virginia,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80116,Isaiah Wilkins,Virginia,2015,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,0.00%,NR,NR,NR
80116,Isaiah Wilkins,Virginia,2016,Wing,100.00%,87.05%,17.11%,72.11%,NR,NR,NR,NR,0.00%,NR,NR,NR
80116,Isaiah Wilkins,Virginia,2017,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
80117,Shane Henry,Virginia Tech,2014,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,0.00%,NR,NR,NR
80117,Shane Henry,Virginia Tech,2015,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
80120,Jalen Hudson,Virginia Tech,2014,Wing,76.97%,66.46%,74.66%,85.45%,58.43%,NR,NR,NR,23.18%,NR,NR,NR
80120,Jalen Hudson,Virginia Tech,2015,Wing,69.62%,8.21%,85.83%,85.45%,50.15%,32.96%,59.91%,87.84%,55.51%,NR,NR,NR
80120,Jalen Hudson,Florida,2017,Wing,24.58%,49.43%,77.44%,91.60%,50.52%,23.73%,59.26%,69.38%,98.16%,60.99%,43.41%,77.54%
80123,Cornelius Hudson,Wake Forest,2014,Wing,25.89%,21.01%,88.36%,65.43%,NR,NR,NR,NR,83.46%,73.95%,76.79%,53.99%
80123,Cornelius Hudson,Wake Forest,2015,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,69.60%,72.12%,12.98%,46.39%
80238,Malek Harris,Kansas State,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
80243,Dante Buford,Oklahoma,2015,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,34.58%,NR,NR,NR
80243,Dante Buford,Oklahoma,2016,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,23.18%,NR,NR,NR
80269,Joe Burton (2),Oklahoma State,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,23.18%,NR,NR,NR
80269,Joe Burton (2),Oklahoma State,2015,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,59.94%,88.55%,93.40%,46.46%
80269,Joe Burton (2),Valparaiso,2017,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,52.77%,NR,NR,NR
80272,Tavarius Shine,Oklahoma State,2014,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,72.90%,80.42%,29.27%,73.21%
80272,Tavarius Shine,Oklahoma State,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,65.93%,76.15%,30.10%,50.56%
80272,Tavarius Shine,Oklahoma State,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,39.17%,NR,NR,NR
80272,Tavarius Shine,Oklahoma State,2017,Wing,23.79%,34.39%,80.33%,56.67%,NR,NR,NR,NR,93.93%,74.11%,53.38%,90.94%
80273,Mitchell Solomon,Oklahoma State,2014,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,0.00%,NR,NR,NR
80273,Mitchell Solomon,Oklahoma State,2015,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,23.18%,NR,NR,NR
80273,Mitchell Solomon,Oklahoma State,2016,Wing,79.21%,56.77%,20.68%,56.67%,NR,NR,NR,NR,23.18%,NR,NR,NR
80273,Mitchell Solomon,Oklahoma State,2017,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,29.47%,NR,NR,NR
80274,Ryan McClurg,Texas,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80274,Ryan McClurg,Texas,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80274,Ryan McClurg,Texas,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80274,Ryan McClurg,Texas,2017,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80275,Kenrich Williams,Texas Christian,2014,Wing,59.44%,78.09%,50.48%,56.67%,NR,NR,NR,NR,49.98%,NR,NR,NR
80275,Kenrich Williams,Texas Christian,2016,Wing,39.15%,61.46%,57.56%,89.92%,32.07%,43.75%,62.88%,70.33%,78.16%,36.85%,66.47%,35.07%
80275,Kenrich Williams,Texas Christian,2017,Wing,35.23%,39.24%,53.47%,77.75%,24.33%,40.43%,67.10%,54.92%,81.47%,44.81%,14.03%,54.21%
80279,Justin Jamison,Texas Tech,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,14.93%,NR,NR,NR
80280,Norense Odiase,Texas Tech,2014,Wing,82.16%,66.46%,15.44%,56.67%,NR,NR,NR,NR,14.93%,NR,NR,NR
80280,Norense Odiase,Texas Tech,2015,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
80280,Norense Odiase,Texas Tech,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80280,Norense Odiase,Texas Tech,2017,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
80281,Zach Smith (2),Texas Tech,2014,Wing,76.77%,46.71%,34.10%,77.75%,16.14%,NR,NR,NR,0.00%,NR,NR,NR
80281,Zach Smith (2),Texas Tech,2015,Wing,67.94%,78.09%,49.51%,96.01%,23.63%,NR,NR,NR,29.47%,NR,NR,NR
80281,Zach Smith (2),Texas Tech,2016,Wing,67.54%,46.71%,32.69%,89.92%,13.62%,NR,NR,NR,23.18%,NR,NR,NR
80281,Zach Smith (2),Texas Tech,2017,Wing,76.77%,76.06%,34.89%,89.92%,25.75%,NR,NR,NR,14.93%,NR,NR,NR
80287,Billy Dee Williams,West Virginia,2014,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,29.47%,NR,NR,NR
80288,Tyler Wideman,Butler,2014,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
80288,Tyler Wideman,Butler,2015,Wing,82.99%,78.67%,64.22%,94.28%,35.25%,NR,NR,NR,14.93%,NR,NR,NR
80288,Tyler Wideman,Butler,2016,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80288,Tyler Wideman,Butler,2017,Wing,90.87%,77.25%,51.45%,91.60%,34.22%,NR,NR,NR,0.00%,NR,NR,NR
80289,Jackson Davis,Butler,2014,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
80289,Jackson Davis,Butler,2015,Wing,NR,NR,NR,44.66%,NR,NR,NR,NR,0.00%,NR,NR,NR
80289,Jackson Davis,Eastern Kentucky,2017,Wing,NR,NR,NR,27.75%,NR,NR,NR,NR,14.93%,NR,NR,NR
80296,Rashaun Stimage,DePaul,2014,Wing,NR,NR,NR,56.67%,NR,NR,NR,NR,0.00%,NR,NR,NR
80296,Rashaun Stimage,DePaul,2015,Wing,91.73%,8.44%,34.53%,27.75%,NR,NR,NR,NR,0.00%,NR,NR,NR
80300,Ben Bentil,Providence,2014,Wing,83.49%,21.01%,48.78%,44.66%,NR,NR,NR,NR,29.47%,NR,NR,NR
80300,Ben Bentil,Providence,2015,Wing,39.25%,56.93%,34.26%,85.45%,12.09%,67.49%,85.79%,49.46%,72.90%,24.47%,41.46%,15.28%
80302,Tom Planek,Providence,2014,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
80302,Tom Planek,Providence,2015,Wing,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
