GMID,Name,School,Year,Position,PercShotS2P,S2PPer,PercS2PAinT,DunkA,PercDunkinT,PercShotl2P,L2PPer,PercL2PAinT,A3P,PercShot3P,ThreePer,Perc3PAinT
24169,Shannon Scott,Ohio State,2014,Guard,56.91%,52.53%,91.10%,0.00%,NR,78.90%,52.71%,84.84%,72.16%,16.39%,15.71%,71.45%
24172,Ky Madden,Arkansas,2011,Guard,48.67%,75.70%,71.44%,36.20%,NR,NR,NR,NR,61.20%,37.91%,11.16%,50.02%
24172,Ky Madden,Arkansas,2012,Guard,66.95%,73.93%,58.01%,66.10%,NR,NR,NR,NR,27.47%,NR,NR,NR
24172,Ky Madden,Arkansas,2013,Guard,62.54%,48.95%,79.19%,74.54%,NR,NR,NR,NR,85.95%,45.55%,77.48%,71.25%
24172,Ky Madden,Arkansas,2014,Guard,42.87%,51.91%,86.99%,54.29%,NR,26.49%,27.51%,54.54%,87.31%,54.39%,56.10%,77.43%
24178,Nick Faust,Maryland,2011,Guard,73.54%,40.67%,63.69%,90.33%,20.99%,NR,NR,NR,67.72%,25.89%,20.04%,52.66%
24178,Nick Faust,Maryland,2012,Guard,63.80%,41.84%,61.08%,95.21%,32.38%,55.21%,49.40%,79.60%,74.83%,26.61%,28.42%,36.61%
24178,Nick Faust,Maryland,2013,Guard,57.02%,84.02%,76.42%,97.42%,30.50%,NR,NR,NR,76.09%,47.30%,26.54%,64.59%
24178,Nick Faust,Long Beach State,2015,Guard,45.03%,67.13%,79.62%,99.90%,32.54%,10.74%,20.55%,41.52%,99.52%,57.99%,42.19%,87.18%
24179,Quinn Cook,Duke,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,46.15%,NR,NR,NR
24179,Quinn Cook,Duke,2012,Guard,47.12%,54.00%,20.94%,0.00%,NR,62.32%,56.98%,27.39%,74.83%,37.64%,74.72%,26.73%
24179,Quinn Cook,Duke,2013,Guard,56.25%,49.77%,56.82%,0.00%,NR,40.28%,56.39%,58.55%,74.83%,38.10%,52.56%,16.63%
24179,Quinn Cook,Duke,2014,Guard,35.23%,77.60%,86.18%,0.00%,NR,12.15%,56.39%,49.15%,98.23%,67.47%,83.05%,76.74%
24183,Jahii Carson,Arizona State,2012,Guard,70.50%,47.83%,52.41%,54.29%,NR,80.20%,67.27%,81.86%,67.72%,5.35%,51.11%,35.22%
