GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
20985,Josh Hunter,Appalachian State,2009,Sr,4,0.00%,25.00%,50.00%,25.00%,0.00%,8,0.00%,50.00%,50.00%
20982,Jacob Lail,Appalachian State,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
20984,Josh Nirenberg,Appalachian State,2009,Fr,0,NA,NA,NA,NA,NA,1,0.00%,100.00%,0.00%
9581,Donald Sims,Appalachian State,2009,Jr,11,54.55%,18.18%,18.18%,63.64%,18.18%,9,0.00%,55.56%,44.44%
20991,Tyler Webb,Appalachian State,2009,Sr,0,NA,NA,NA,NA,NA,3,0.00%,66.67%,33.33%
20979,Andre Williamson,Appalachian State,2009,So,2,0.00%,0.00%,50.00%,50.00%,0.00%,10,0.00%,70.00%,30.00%
20987,Marcus Wright,Appalachian State,2009,So,3,33.33%,0.00%,0.00%,100.00%,0.00%,12,0.00%,58.33%,41.67%
6680,Ty Abbott,Arizona State,2009,Jr,14,35.71%,50.00%,14.29%,35.71%,7.14%,20,20.00%,35.00%,45.00%
1954,Eric Boateng,Arizona State,2009,Sr,10,10.00%,50.00%,10.00%,40.00%,0.00%,39,20.51%,20.51%,58.97%
4734,Derek Glasser,Arizona State,2009,Sr,43,41.86%,34.88%,9.30%,55.81%,6.98%,26,3.85%,61.54%,34.62%
6682,Marcus Jackson,Arizona State,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
6676,Rihards Kuksiks,Arizona State,2009,Jr,14,7.14%,21.43%,35.71%,42.86%,0.00%,10,10.00%,60.00%,30.00%
6679,Trent Lockett,Arizona State,2009,Fr,6,50.00%,33.33%,16.67%,50.00%,0.00%,15,6.67%,40.00%,53.33%
6674,Jamelle McMillan,Arizona State,2009,Jr,26,34.62%,23.08%,11.54%,65.38%,3.85%,4,0.00%,75.00%,25.00%
6677,Ruslan Pateev,Arizona State,2009,Fr,1,0.00%,0.00%,0.00%,100.00%,0.00%,3,0.00%,0.00%,100.00%
6678,Taylor Rohde,Arizona State,2009,So,2,0.00%,0.00%,0.00%,100.00%,0.00%,3,0.00%,33.33%,66.67%
6681,Victor Rudd,Arizona State,2009,Fr,3,33.33%,0.00%,0.00%,100.00%,0.00%,2,0.00%,0.00%,100.00%
6675,Jerren Shipp,Arizona State,2009,Sr,4,50.00%,50.00%,25.00%,25.00%,25.00%,6,16.67%,33.33%,50.00%
6671,Brandon Thompson,Arizona State,2009,Fr,1,0.00%,0.00%,0.00%,100.00%,0.00%,0,NA,NA,NA
6673,Demetrius Walker,Arizona State,2009,Fr,6,16.67%,33.33%,16.67%,50.00%,16.67%,7,0.00%,57.14%,42.86%
6649,Kyle Fogg,Arizona,2009,So,24,33.33%,45.83%,20.83%,33.33%,16.67%,24,0.00%,62.50%,37.50%
6653,Solomon Hill,Arizona,2009,Fr,28,17.86%,42.86%,21.43%,35.71%,3.57%,28,7.14%,50.00%,42.86%
6647,Jamelle Horne,Arizona,2009,Jr,16,6.25%,56.25%,12.50%,31.25%,12.50%,25,4.00%,56.00%,40.00%
6641,Alex Jacobson,Arizona,2009,So,0,NA,NA,NA,NA,NA,5,20.00%,0.00%,80.00%
2540,Lamont Jones,Arizona,2009,Fr,16,25.00%,25.00%,12.50%,62.50%,6.25%,20,0.00%,20.00%,80.00%
6646,Garland Judkins,Arizona,2009,RS-So,0,NA,NA,NA,NA,NA,2,0.00%,50.00%,50.00%
6642,Brendon Lavender,Arizona,2009,So,8,12.50%,37.50%,0.00%,50.00%,0.00%,11,9.09%,54.55%,36.36%
6650,Kyryl Natyazhko,Arizona,2009,Fr,1,0.00%,0.00%,0.00%,100.00%,0.00%,11,18.18%,36.36%,45.45%
6648,Kevin Parrom,Arizona,2009,Fr,16,56.25%,25.00%,12.50%,62.50%,6.25%,10,20.00%,30.00%,50.00%
6643,D.J. Shumpert,Arizona,2009,So,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
6644,Derrick Williams,Arizona,2009,Fr,9,11.11%,33.33%,11.11%,55.56%,0.00%,31,16.13%,41.94%,41.94%
