GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
5578,Brendan Knox,Auburn,2009,Sr,21,15,11,7,6,6,2,1,0,0,0,0,16,9
5582,Johnnie Lett,Auburn,2009,Sr,7,3,1,2,1,0,0,0,0,1,0,0,4,1
5577,Andre Malone,Auburn,2009,Fr,8,7,4,0,0,0,4,3,2,12,2,2,8,5
5589,Tony Neysmith,Auburn,2009,So,2,0,0,0,0,0,0,0,0,0,0,0,2,1
4818,DeWayne Reed,Auburn,2009,Sr,111,60,10,11,9,4,23,9,1,41,15,4,97,67
5579,Earnest Ross,Auburn,2009,Fr,12,7,3,1,1,1,2,0,0,15,3,3,8,5
5580,Frankie Sullivan,Auburn,2009,So,36,24,12,2,2,1,10,2,0,41,11,10,57,48
5583,Josh Wallace,Auburn,2009,Fr,6,2,0,0,0,0,0,0,0,1,0,0,11,7
5588,Tay Waller,Auburn,2009,Sr,26,20,15,5,5,4,4,3,1,76,31,24,17,12
5585,"Larry Williams, Jr.",Auburn,2009,Jr,0,0,0,0,0,0,0,0,0,8,4,2,3,0
11659,Justin Blake,Austin Peay,2009,Fr,15,13,7,0,0,0,2,1,0,27,9,8,24,17
11650,Caleb Brown,Austin Peay,2009,Jr,21,13,2,0,0,0,9,3,0,5,1,1,29,17
11661,Tyrone Caldwell,Austin Peay,2009,So,23,17,3,0,0,0,4,2,0,8,0,0,31,21
9444,Anthony Campbell,Austin Peay,2009,So,46,35,22,5,4,1,8,4,4,25,8,6,73,58
11662,Wesley Channels,Austin Peay,2009,Sr,54,29,3,3,2,0,21,4,0,34,18,13,70,50
11655,Ernest Fields,Austin Peay,2009,Sr,1,1,0,0,0,0,2,1,1,0,0,0,6,3
11658,John Fraley,Austin Peay,2009,So,21,14,8,8,8,7,2,0,0,0,0,0,27,15
11654,Eric Mosley,Austin Peay,2009,Fr,9,5,3,0,0,0,4,1,0,6,2,2,6,5
11651,Chris Reaves,Austin Peay,2009,So,3,3,2,1,1,1,5,2,0,2,0,0,1,0
