GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,52,32,20,8,7,3,76,30,23,14,5,5,53,29
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,102,63,40,3,2,2,56,15,9,23,4,3,166,102
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,41,21,12,0,0,0,14,6,6,6,2,2,20,14
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,1,1,1,0,0,0,0,0,0,1,0,0,0,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,2,1,1,0,0,0,8,2,1,10,2,2,5,2
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,10,7,4,0,0,0,7,1,1,16,6,6,16,9
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,13,6,4,3,2,1,20,5,0,15,5,4,30,16
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,2,0,0,0,0,0,1,0,0,10,1,1,8,5
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,10,5,3,0,0,0,9,0,0,31,9,9,19,10
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,27,11,6,0,0,0,22,3,0,106,36,33,40,27
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,8,5,3,0,0,0,1,0,0,1,0,0,6,3
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,56,28,11,2,2,0,89,23,1,87,31,27,112,81
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,153,105,58,40,36,25,24,7,3,25,4,4,121,78
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,66,35,20,7,7,6,142,59,31,95,30,28,85,57
4550,Martavius Adams,Arkansas State ,2009,So,152,113,80,22,20,17,110,36,19,0,0,0,100,61
19725,Rashad Allison,Arkansas State ,2009,Jr,52,28,6,1,1,1,96,38,12,54,18,15,98,79
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,JeJuan Brown,Arkansas State ,2009,Jr,50,35,21,7,7,5,46,11,4,10,6,5,49,33
19718,Daniel Bryant,Arkansas State ,2009,So,53,27,4,0,0,0,24,10,2,120,43,30,46,28
19721,Justin Butler,Arkansas State ,2009,Jr,16,8,4,2,1,1,4,1,0,7,1,1,25,17
19726,Trey Finn,Arkansas State ,2009,Fr,48,25,5,1,1,1,61,19,8,85,32,30,74,51
19724,Michael Lance,Arkansas State ,2009,Sr,3,2,0,0,0,0,2,0,0,6,2,2,1,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,91,55,29,10,8,6,68,18,6,3,0,0,106,67
19717,Brandon Reed,Arkansas State ,2009,Fr,111,64,20,8,7,5,144,46,13,173,58,53,106,75
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,11,7,2,0,0,0,13,4,1,34,12,11,19,10
19720,Jeremy Thomas,Arkansas State ,2009,Jr,64,46,23,14,14,10,9,3,0,1,0,0,58,31
5539,Marcus Britt,Arkansas,2009,Jr,22,17,5,0,0,0,26,12,1,32,9,9,18,16
5536,Glenn Bryant,Arkansas,2009,Fr,29,20,11,4,4,3,11,3,3,22,6,6,24,12
5543,Rotnei Clarke,Arkansas,2009,So,32,20,9,0,0,0,66,31,7,234,100,80,81,67
5545,Stephen Cox,Arkansas,2009,Jr,3,0,0,0,0,0,2,1,0,0,0,0,12,8
5537,Jemal Farmer,Arkansas,2009,Jr,53,34,16,6,6,6,66,18,9,25,11,8,66,49
3642,Courtney Fortson,Arkansas,2009,So,125,59,6,1,1,0,64,13,1,80,25,15,137,104
5535,Delvon Johnson,Arkansas,2009,Jr,42,29,20,10,9,7,21,7,3,0,0,0,24,12
5534,Cody Lay,Arkansas,2009,Fr,1,1,0,0,0,0,0,0,0,1,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,1,1,0,0,0,0,5,1,0,4,0,0,2,1
5538,Julysses Nobles,Arkansas,2009,Fr,32,18,2,0,0,0,25,6,1,33,12,10,51,28
5540,Marshawn Powell,Arkansas,2009,Fr,209,134,86,39,34,28,134,48,13,37,8,3,142,90
5533,Chris Roberts,Arkansas,2009,Fr,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,8,3,1,0,0,0,2,0,0,1,0,0,17,10
2330,Michael Washington,Arkansas,2009,Sr,135,87,64,23,22,21,93,33,15,26,6,5,160,104
5544,Stefan Welsh,Arkansas,2009,Sr,41,27,8,1,1,0,30,5,0,84,24,23,48,31
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,25,12,9,0,0,0,25,7,5,22,5,5,36,22
16996,Nathan Hedgecock,Army,2009,Jr,3,0,0,0,0,0,1,0,0,13,4,4,0,0
16987,Jeremy Hence,Army,2009,Jr,69,40,19,1,1,0,23,4,1,35,10,10,48,26
16995,Mitch McDonald,Army,2009,Jr,17,8,4,0,0,0,12,6,3,2,0,0,12,8
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0,2,0,0,0,0
16991,Josh Miller,Army,2009,Sr,51,28,3,0,0,0,66,23,6,102,31,20,64,42
16994,Marcus Nelson,Army,2009,Sr,84,52,18,3,3,2,22,6,0,3,0,0,68,36
16986,Jason Pancoe,Army,2009,Fr,2,2,1,0,0,0,3,0,0,12,1,1,3,2
16983,Cleveland Richard,Army,2009,Sr,83,54,24,0,0,0,134,38,13,117,37,34,96,71
16992,Julian Simmons,Army,2009,So,38,21,5,0,0,0,88,27,10,145,61,58,63,49
16989,Jon Sizemore,Army,2009,Sr,16,10,3,0,0,0,27,12,4,2,1,1,11,5
16990,Jordan Springer,Army,2009,Fr,3,1,1,0,0,0,2,0,0,0,0,0,6,4
16998,Tyrell Thompson,Army,2009,Sr,39,24,6,0,0,0,28,7,3,26,9,8,16,11
16982,Chris Walker,Army,2009,Sr,87,44,26,0,0,0,34,15,6,0,0,0,30,17
16985,Eric Zastoupil,Army,2009,Sr,41,26,14,0,0,0,26,11,8,7,0,0,30,23
5590,Ty Armstrong,Auburn,2009,Fr,25,17,9,4,4,3,21,7,1,0,0,0,22,11
5587,Rob Chubb,Auburn,2009,Fr,5,3,2,0,0,0,2,1,0,0,0,0,4,1
5581,Jake Drum,Auburn,2009,So,2,2,1,0,0,0,0,0,0,2,1,1,0,0
5584,Kenny Gabriel,Auburn,2009,So,7,4,2,3,2,1,13,7,4,36,11,9,6,4
5586,Lucas Hargrove,Auburn,2009,Sr,132,88,29,18,17,4,85,37,12,99,27,24,114,80
5578,Brendan Knox,Auburn,2009,Sr,133,95,58,32,28,24,29,13,4,1,0,0,121,61
5582,Johnnie Lett,Auburn,2009,Sr,39,22,8,3,2,1,18,3,0,2,0,0,30,10
5577,Andre Malone,Auburn,2009,Fr,20,14,8,3,2,1,22,7,4,58,12,12,13,7
5589,Tony Neysmith,Auburn,2009,So,3,0,0,0,0,0,1,1,0,1,0,0,4,1
4818,DeWayne Reed,Auburn,2009,Sr,192,92,13,13,9,4,84,26,2,150,49,24,190,135
5579,Earnest Ross,Auburn,2009,Fr,27,14,5,1,1,1,14,2,1,68,15,15,22,14
5580,Frankie Sullivan,Auburn,2009,So,76,48,14,3,3,2,44,14,1,170,63,58,94,80
5583,Josh Wallace,Auburn,2009,Fr,11,3,0,0,0,0,5,4,0,5,1,1,21,12
5588,Tay Waller,Auburn,2009,Sr,37,27,20,5,5,4,44,25,3,212,87,71,42,33
5585,"Larry Williams, Jr.",Auburn,2009,Jr,1,1,0,0,0,0,2,2,0,15,5,3,6,2
11659,Justin Blake,Austin Peay,2009,Fr,27,19,10,0,0,0,13,6,2,103,36,33,42,27
11650,Caleb Brown,Austin Peay,2009,Jr,53,29,5,0,0,0,63,17,1,40,11,11,87,62
11661,Tyrone Caldwell,Austin Peay,2009,So,60,37,4,0,0,0,26,10,1,41,15,10,72,53
