GMID,Name,School,Year,BLK,B2PJ,BS2P,B3P,R2PJ,RS2P,R3P,S2PJ,S2PS,S3PS,PickSix
2360,Herb Pope,Seton Hall,2009,53,12,39,2,8,17,2,1,8,0,1
2360,Herb Pope,Seton Hall,2010,36,9,26,0,5,13,0,0,3,0,0
2360,Herb Pope,Seton Hall,2011,46,14,32,0,11,19,0,1,4,0,5
2361,Jon Diebler,Ohio State,2009,3,1,2,0,0,1,0,1,1,1,5
2361,Jon Diebler,Ohio State,2010,4,0,4,0,0,1,0,1,1,0,7
2362,Leslie McDonald,North Carolina,2009,5,4,1,0,2,1,0,0,0,0,2
2362,Leslie McDonald,North Carolina,2010,1,1,0,0,1,0,0,2,0,0,0
2362,Leslie McDonald,North Carolina,2012,3,3,0,0,3,0,0,0,0,0,1
2362,Leslie McDonald,North Carolina,2013,2,2,0,0,1,0,0,3,2,1,1
2363,Trey Thompkins,Georgia,2009,35,21,12,1,12,9,0,2,3,0,4
2363,Trey Thompkins,Georgia,2010,50,20,27,3,13,21,2,1,3,0,2
2364,Darius Miller,Kentucky,2009,22,11,7,4,7,5,2,0,1,0,1
2364,Darius Miller,Kentucky,2010,43,22,15,5,8,8,3,3,5,0,2
2364,Darius Miller,Kentucky,2011,12,6,5,0,5,3,0,0,1,0,0
2365,DeQuan Jones,Miami (FL),2009,16,8,5,3,5,3,2,0,0,0,1
2365,DeQuan Jones,Miami (FL),2010,8,2,6,0,1,4,0,1,0,0,1
2365,DeQuan Jones,Miami (FL),2011,11,3,6,2,3,2,1,0,0,0,2
2366,Tony Woods,Wake Forest,2009,17,6,11,0,3,4,0,1,5,0,0
2366,Tony Woods,Oregon,2011,51,17,33,0,11,19,0,1,2,0,0
2366,Tony Woods,Oregon,2012,40,22,17,1,11,10,1,2,7,0,0
2368,Yancy Gates,Cincinnati,2009,30,14,15,0,6,10,0,1,7,0,0
2368,Yancy Gates,Cincinnati,2010,43,25,18,0,17,14,0,0,6,0,1
2368,Yancy Gates,Cincinnati,2011,29,15,14,0,11,9,0,0,2,0,1
2369,Draymond Green,Michigan State,2009,28,10,13,5,8,5,2,2,1,0,1
2369,Draymond Green,Michigan State,2010,36,11,14,11,7,8,9,1,1,0,2
2369,Draymond Green,Michigan State,2011,18,4,9,5,2,5,2,2,1,0,2
2370,Kevin Jones,West Virginia,2009,34,16,18,0,11,10,0,1,2,0,1
2370,Kevin Jones,West Virginia,2010,16,4,12,0,2,5,0,0,1,0,0
2370,Kevin Jones,West Virginia,2011,33,12,20,0,9,12,0,1,1,0,2
2371,Henry Sims,Georgetown,2009,11,1,10,0,1,5,0,0,0,0,0
2371,Henry Sims,Georgetown,2010,17,7,8,1,2,3,0,0,5,0,0
2371,Henry Sims,Georgetown,2011,43,14,28,1,11,16,1,0,4,0,0
2372,Harrison Barnes,North Carolina,2010,12,9,2,1,7,2,0,1,2,0,3
2372,Harrison Barnes,North Carolina,2011,11,8,1,2,5,1,0,3,1,0,8
2374,Joshua Smith,UCLA,2010,34,11,23,0,6,13,0,0,4,0,0
2374,Joshua Smith,UCLA,2011,18,3,15,0,0,9,0,0,2,0,0
2374,Joshua Smith,UCLA,2012,2,0,2,0,0,2,0,0,1,0,0
2374,Joshua Smith,Georgetown,2013,8,2,6,0,1,4,0,0,2,0,0
2374,Joshua Smith,Georgetown,2014,21,10,9,2,5,6,1,1,2,0,1
2375,Jared Sullinger,Ohio State,2010,16,8,8,0,5,5,0,3,2,0,3
2375,Jared Sullinger,Ohio State,2011,32,13,18,0,10,13,0,2,8,0,2
2376,Tyler Honeycutt,UCLA,2009,30,9,16,4,6,7,2,1,2,1,1
2376,Tyler Honeycutt,UCLA,2010,67,15,46,5,9,21,3,0,1,0,2
2377,John Jenkins,Vanderbilt,2009,4,4,0,0,1,0,0,2,3,0,1
2377,John Jenkins,Vanderbilt,2010,11,6,2,3,3,1,2,0,4,0,6
2377,John Jenkins,Vanderbilt,2011,11,4,5,2,2,1,0,1,1,0,5
2378,Mfon Udofia,Georgia Tech,2009,2,1,1,0,1,1,0,1,0,0,5
2378,Mfon Udofia,Georgia Tech,2010,0,0,0,0,0,0,0,0,1,0,5
2378,Mfon Udofia,Georgia Tech,2011,3,1,2,0,0,1,0,1,3,0,1
2378,Mfon Udofia,Georgia Tech,2012,0,0,0,0,0,0,0,2,6,0,2
2379,Durand Scott,Miami (FL),2009,6,5,1,0,1,0,0,0,3,0,9
2379,Durand Scott,Miami (FL),2010,4,1,3,0,0,1,0,0,2,0,11
2379,Durand Scott,Miami (FL),2011,5,1,3,1,1,0,1,3,4,0,9
2379,Durand Scott,Miami (FL),2012,3,2,1,0,1,1,0,0,0,0,8
2380,Terrell Vinson,Massachusetts,2009,19,6,13,0,1,9,0,1,2,0,0
2380,Terrell Vinson,Massachusetts,2010,13,2,11,0,1,7,0,0,2,0,1
2380,Terrell Vinson,Massachusetts,2011,13,1,12,0,1,5,0,1,6,0,1
2380,Terrell Vinson,Massachusetts,2012,15,3,12,0,2,6,0,0,2,0,1
2381,Deshaun Thomas,Ohio State,2010,5,4,0,1,2,0,0,1,1,0,0
2381,Deshaun Thomas,Ohio State,2011,7,4,3,0,4,2,0,0,3,0,0
2381,Deshaun Thomas,Ohio State,2012,8,6,2,0,5,1,0,2,2,0,3
2382,Lorenzo Brown,NC State,2010,11,1,8,2,1,4,1,1,1,0,12
2382,Lorenzo Brown,NC State,2011,19,6,8,4,2,4,3,1,2,0,12
2382,Lorenzo Brown,NC State,2012,19,7,12,0,3,2,0,0,0,0,9
2383,Thomas Robinson,Kansas,2009,14,8,6,0,3,2,0,0,2,0,2
2383,Thomas Robinson,Kansas,2010,21,8,11,2,5,3,2,0,0,0,2
2383,Thomas Robinson,Kansas,2011,34,11,23,0,6,11,0,1,3,0,7
2384,Erik Murphy,Florida,2009,8,4,3,0,3,2,0,0,0,0,0
2384,Erik Murphy,Florida,2010,15,12,3,0,7,2,0,1,2,0,1
2384,Erik Murphy,Florida,2011,37,18,19,0,8,11,0,1,4,0,1
2384,Erik Murphy,Florida,2012,23,12,10,1,7,8,1,2,4,0,1
2385,Roger Franklin,Oklahoma State,2009,10,5,4,1,5,3,1,0,2,1,1
2385,Roger Franklin,Oklahoma State,2010,3,0,3,0,0,1,0,1,2,0,1
2385,Roger Franklin,North Texas,2011,15,9,5,0,8,4,0,1,4,0,2
2385,Roger Franklin,North Texas,2012,25,10,12,2,6,5,1,2,1,0,3
2386,D.J. Richardson,Illinois,2009,6,5,1,0,5,1,0,1,4,0,0
2386,D.J. Richardson,Illinois,2010,7,6,1,0,1,1,0,2,3,0,3
2386,D.J. Richardson,Illinois,2011,5,3,2,0,3,0,0,0,2,0,1
2386,D.J. Richardson,Illinois,2012,6,5,0,1,4,0,0,0,3,1,7
2388,DeShawn Sims,Michigan,2009,21,13,8,0,9,5,0,6,1,0,1
2389,Alex Stepheson,USC,2009,37,21,15,1,12,4,1,0,1,0,0
2389,Alex Stepheson,USC,2010,33,17,15,1,11,10,1,0,2,0,0
2390,Brian Zoubek,Duke,2009,27,14,12,1,4,5,0,1,9,0,0
2391,Jerry Smith,Louisville,2009,8,5,0,1,3,0,1,0,1,0,7
2411,Jerime Anderson,UCLA,2009,5,2,2,1,2,1,0,1,3,0,3
2411,Jerime Anderson,UCLA,2010,5,4,0,1,3,0,0,1,4,0,0
