GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
20984,Josh Nirenberg,Appalachian State,2009,Fr,2,1,1,0,0,0,4,1,1,0,0,0,1,0
9581,Donald Sims,Appalachian State,2009,Jr,81,51,10,0,0,0,119,49,4,278,117,70,154,146
20991,Tyler Webb,Appalachian State,2009,Sr,7,7,3,0,0,0,14,3,2,20,9,9,9,4
20979,Andre Williamson,Appalachian State,2009,So,42,30,17,11,10,8,64,24,10,0,0,0,74,50
20987,Marcus Wright,Appalachian State,2009,So,40,25,10,1,1,1,59,25,8,45,17,13,37,24
6680,Ty Abbott,Arizona State,2009,Jr,46,28,12,4,3,2,63,21,13,180,73,70,51,39
1954,Eric Boateng,Arizona State,2009,Sr,107,79,43,19,19,14,58,28,9,0,0,0,94,49
4734,Derek Glasser,Arizona State,2009,Sr,42,19,7,0,0,0,75,24,4,100,37,17,94,79
6682,Marcus Jackson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6676,Rihards Kuksiks,Arizona State,2009,Jr,44,29,14,4,3,3,48,22,7,195,74,66,54,47
6679,Trent Lockett,Arizona State,2009,Fr,62,44,29,11,10,9,64,22,11,17,3,3,68,46
6674,Jamelle McMillan,Arizona State,2009,Jr,44,24,11,0,0,0,21,8,6,80,30,30,34,21
6677,Ruslan Pateev,Arizona State,2009,Fr,6,4,3,1,0,0,12,3,2,0,0,0,6,4
6678,Taylor Rohde,Arizona State,2009,So,26,15,9,0,0,0,6,3,2,2,0,0,26,14
6681,Victor Rudd,Arizona State,2009,Fr,3,2,1,1,1,0,1,1,0,16,2,1,4,3
6675,Jerren Shipp,Arizona State,2009,Sr,34,25,13,0,0,0,18,6,2,41,10,9,30,23
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,11,4,2,0,0,0,16,3,1,24,8,6,21,15
6649,Kyle Fogg,Arizona,2009,So,40,27,5,0,0,0,93,27,5,106,44,43,83,64
6653,Solomon Hill,Arizona,2009,Fr,69,46,15,6,4,1,57,20,3,16,3,3,68,47
6647,Jamelle Horne,Arizona,2009,Jr,29,18,7,7,6,2,77,31,7,108,46,42,38,23
6641,Alex Jacobson,Arizona,2009,So,1,1,0,0,0,0,7,5,4,1,1,0,5,3
2540,Lamont Jones,Arizona,2009,Fr,39,26,12,0,0,0,87,39,4,50,10,10,42,30
6646,Garland Judkins,Arizona,2009,RS-So,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6642,Brendon Lavender,Arizona,2009,So,10,3,0,0,0,0,10,3,0,63,22,20,14,11
6650,Kyryl Natyazhko,Arizona,2009,Fr,19,9,7,3,2,2,32,9,3,3,1,1,23,16
6648,Kevin Parrom,Arizona,2009,Fr,26,16,9,1,1,0,31,6,2,13,2,2,21,16
6643,D.J. Shumpert,Arizona,2009,So,0,0,0,0,0,0,2,0,0,0,0,0,0,0
6644,Derrick Williams,Arizona,2009,Fr,164,123,80,42,39,32,93,28,16,14,4,4,221,149
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,69,35,2,0,0,0,120,42,11,137,50,39,142,125
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,8,4,1,0,0,0,4,0,0,0,0,0,9,6
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,102,49,18,0,0,0,143,39,9,21,4,2,131,106
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,10,5,3,0,0,0,4,2,0,6,2,2,5,2
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,45,26,16,6,5,2,68,25,19,13,5,5,44,25
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,90,56,37,1,1,1,48,11,7,21,4,3,152,92
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,34,17,9,0,0,0,12,5,5,5,2,2,18,13
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,1,1,1,0,0,0,4,1,0,10,2,2,5,2
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,7,4,3,0,0,0,4,1,1,15,6,6,16,9
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,11,5,4,2,1,1,16,5,0,11,3,2,21,9
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,2,0,0,0,0,0,0,0,0,6,0,0,2,1
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,9,4,2,0,0,0,8,0,0,29,8,8,19,10
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,23,9,5,0,0,0,21,3,0,101,33,30,36,24
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,8,5,3,0,0,0,1,0,0,1,0,0,6,3
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,49,25,9,2,2,0,83,21,1,75,25,21,97,71
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,144,97,54,38,34,24,22,7,3,22,4,4,111,71
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,59,31,16,6,6,5,129,53,28,88,30,28,71,45
4550,Martavius Adams,Arkansas State ,2009,So,141,106,75,22,20,17,106,34,19,0,0,0,87,54
19725,Rashad Allison,Arkansas State ,2009,Jr,48,28,6,1,1,1,87,33,11,47,15,13,77,62
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,JeJuan Brown,Arkansas State ,2009,Jr,45,33,20,7,7,5,42,11,4,8,5,5,41,27
19718,Daniel Bryant,Arkansas State ,2009,So,48,24,4,0,0,0,21,9,1,111,40,27,40,24
19721,Justin Butler,Arkansas State ,2009,Jr,11,4,2,2,1,1,4,1,0,3,0,0,22,16
19726,Trey Finn,Arkansas State ,2009,Fr,43,22,4,0,0,0,59,18,7,80,30,28,63,44
19724,Michael Lance,Arkansas State ,2009,Sr,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,77,47,24,9,7,5,62,17,6,3,0,0,88,55
19717,Brandon Reed,Arkansas State ,2009,Fr,99,56,17,7,6,4,138,45,12,159,54,49,93,67
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,9,5,2,0,0,0,7,2,1,23,9,8,15,8
19720,Jeremy Thomas,Arkansas State ,2009,Jr,54,37,19,11,11,9,9,3,0,1,0,0,54,29
5539,Marcus Britt,Arkansas,2009,Jr,21,16,4,0,0,0,25,12,1,26,7,7,12,10
5536,Glenn Bryant,Arkansas,2009,Fr,23,16,9,3,3,2,8,3,3,17,4,4,20,10
5543,Rotnei Clarke,Arkansas,2009,So,29,18,8,0,0,0,58,29,7,209,87,71,71,58
5545,Stephen Cox,Arkansas,2009,Jr,3,0,0,0,0,0,2,1,0,0,0,0,4,1
5537,Jemal Farmer,Arkansas,2009,Jr,35,21,13,4,4,4,54,14,7,16,7,6,57,40
3642,Courtney Fortson,Arkansas,2009,So,113,53,5,1,1,0,59,13,1,71,23,13,126,94
5535,Delvon Johnson,Arkansas,2009,Jr,34,24,18,8,8,7,14,6,3,0,0,0,20,10
5534,Cody Lay,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,1,1,0,0,0,0,3,1,0,2,0,0,0,0
