GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
20986,Kellen Brand,Appalachian State,2009,Sr,20.00%,0.00%,0.00%,33.33%,28.57%,30.00%,10.00%,0.00%,0.00%
20980,Isaac Butts,Appalachian State,2009,Jr,7.14%,6.25%,NA,33.33%,13.33%,NA,21.43%,25.00%,0.00%
20988,Nathan Healy,Appalachian State,2009,Fr,0.00%,50.00%,NA,NA,50.00%,NA,0.00%,0.00%,NA
20978,A.J. Highsmith,Appalachian State,2009,Sr,NA,NA,0.00%,NA,NA,0.00%,NA,NA,NA
20985,Josh Hunter,Appalachian State,2009,Sr,18.18%,18.18%,0.00%,66.67%,20.00%,0.00%,0.00%,9.09%,0.00%
20982,Jacob Lail,Appalachian State,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
20984,Josh Nirenberg,Appalachian State,2009,Fr,NA,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA
9581,Donald Sims,Appalachian State,2009,Jr,7.69%,4.00%,5.88%,50.00%,33.33%,26.67%,0.00%,0.00%,NA
20991,Tyler Webb,Appalachian State,2009,Sr,0.00%,0.00%,0.00%,NA,0.00%,20.00%,100.00%,0.00%,0.00%
20979,Andre Williamson,Appalachian State,2009,So,14.29%,0.00%,NA,0.00%,22.22%,NA,28.57%,6.67%,0.00%
20987,Marcus Wright,Appalachian State,2009,So,16.67%,11.11%,0.00%,100.00%,57.14%,37.50%,0.00%,0.00%,NA
6680,Ty Abbott,Arizona State,2009,Jr,6.67%,12.50%,0.00%,20.00%,38.10%,24.39%,6.67%,0.00%,0.00%
1954,Eric Boateng,Arizona State,2009,Sr,7.41%,6.25%,NA,30.00%,9.52%,NA,22.22%,3.13%,14.29%
4734,Derek Glasser,Arizona State,2009,Sr,16.67%,5.13%,0.00%,0.00%,21.43%,17.86%,0.00%,0.00%,NA
6682,Marcus Jackson,Arizona State,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
6676,Rihards Kuksiks,Arizona State,2009,Jr,0.00%,7.14%,1.25%,20.00%,27.78%,18.00%,11.76%,0.00%,0.00%
6679,Trent Lockett,Arizona State,2009,Fr,5.88%,7.14%,0.00%,33.33%,25.00%,60.00%,5.88%,0.00%,0.00%
6674,Jamelle McMillan,Arizona State,2009,Jr,11.76%,22.22%,0.00%,30.00%,16.67%,22.22%,0.00%,0.00%,NA
6677,Ruslan Pateev,Arizona State,2009,Fr,0.00%,0.00%,NA,0.00%,25.00%,NA,33.33%,25.00%,0.00%
6678,Taylor Rohde,Arizona State,2009,So,14.29%,20.00%,0.00%,0.00%,0.00%,100.00%,28.57%,20.00%,0.00%
6681,Victor Rudd,Arizona State,2009,Fr,33.33%,NA,5.56%,0.00%,NA,20.00%,0.00%,NA,0.00%
6675,Jerren Shipp,Arizona State,2009,Sr,12.50%,20.00%,0.00%,0.00%,55.56%,44.44%,0.00%,10.00%,0.00%
6671,Brandon Thompson,Arizona State,2009,Fr,NA,NA,0.00%,NA,NA,100.00%,NA,NA,NA
6673,Demetrius Walker,Arizona State,2009,Fr,20.00%,0.00%,0.00%,0.00%,33.33%,16.67%,0.00%,9.09%,0.00%
